Song_ID,Section,"Matrix Number (song #, take #)",Performer,Title of Track,"Date Performed (exact)","Date Performed (estimate)",Year,Place Performed,Record Label and Number,Record Label,"Instrumentation (first listed is performer)","Arrangers/Composer/Performers, etc (if provided)",Composers and Performers Normative Spelling,Other notes
S236,16.31,B 25721-3 ,Leonard Braun ,Mein Yingele (My Little Boy) ,10/17/1921,,1921,NY,Vi rej,Victor,Tenor & Orchestra,Leonard Braun (composer); Nathaniel Shilkret (director),"Leonard Braun (composer), Nathaniel Shilkret (director)",
S237,16.31,42035-2 ,J. Leonard Braun,Elshaday,10/1921,,1921,NY,Regal 1001,Regal,Tenor,Rubin Doctor (composer),Rubin Doctor (composer),
S238,16.31,42036-1 ,J. Leonard Braun,Meyerke Mein Sohn,10/1921,,1921,NY,Regal 1001,Regal,Tenor,,,
S239,16.31,9493,Leonard Braun ,Yom Kippur (Cry Of Atonement),,07/1922,1922,NY,Vo 14396,Vocalion,Tenor & Orchestra,Silberstein & Silberta (composers),"H.B. Silberstein (composer), Rhea Silberta (composer)",
S240,16.31,9494,Leonard Braun ,Israel,,07/1922,1922,NY,Vo 14396,Vocalion,Tenor & Orchestra,Burkhart & Fisher (composers),"Addison Burkhart (composer), Fred Fisher (composer)",In English
S241,16.31,x,Leonard Braun ,Zehn Bruder ,,07/1922,1922,NY,Vo 14360,Vocalion,Tenor & Orchestra,,,
S242,16.31,x,Leonard Braun ,A Bal-Agaloh ,,07/1922,1922,NY,Vo 14360,Vocalion,Tenor & Orchestra,,,
S243,16.31,42553-2 ,Leonard Braun ,Shmilik Un Azrilik,,02/1924,1924,NY,Em 13246,Emerson,Tenor & Orchestra,Rheingold & Rev. Mendelssohn (composers); Abe Schwartz (director),"Rheingold (composer), Rev. Mendelssohn (composer), Abe Schwartz (director)",
S244,16.31,42554-1 ,Leonard Braun ,Zug Mir Di Shain Maidele ,,02/1924,1924,NY,Em 13246,Emerson,Tenor & Orchestra,Abe Schwartz (director),Abe Schwartz (director),
S245,16.31,42597-2 ,Leonard Braun ,Hamavdil (The Sabbath Prayer) ,,03/1924,1924,NY,Em 13250,Emerson,Tenor & Orchestra,Joseph M. Rumshinsky (composer),Joseph Rumshinsky (composer),
S246,16.31,42598-2 ,Leonard Braun ,"Got, Far Vus Strufst Du Deine Kinder ",,03/1924,1924,NY,Em 13250,Emerson,Tenor & Orchestra,Joseph M. Rumshinsky (composer),Joseph Rumshinsky (composer),
S247,16.31,42632-1 B,Leonard Braun ,"imelach Zwei, from ''Mendel In Japan'' ",,04/1924,1924,NY,Em 13256,Emerson,Tenor & Orchestra,,,
S248,16.31,42633-1 ,Leonard Braun ,Rivkeniu,,04/1924,1924,NY,Em 13256,Emerson,Tenor & Orchestra,,,
S249,16.31,52665-2 ,Cantor Leonard Braun,Korutz Mechoimer ,,04/1924,1924,NY,Em 13258XX (12''),Emerson,"Tenor & vln, cl, vla, vc ","Rev. SamWeisser (composer); Moldavan's Quartette (vln, cl, vla, vc)","Joshua Samuel Weisser (composer), Moldavan's Quartette (vln, cl, vla, vc)",
S250,16.31,52666-2 ,Cantor Leonard Braun,Lo Sachmoid ,,04/1924,1924,NY,Em 13258XX (12''),Emerson,"Tenor & vln, cl, vla, vc","Rev. Sam Weisser (composer); Moldavan's Quartette (vln, cl, vla, vc)","Joshua Samuel Weisser (composer), Moldavan's Quartette (vln, cl, vla, vc)",
S251,16.31,42710-2 ,Leonard Braun,Die Hoffnung Far Frieden ,,06/1924,1924,NY,Em 13260,Emerson,Tenor & Orchestra,S. Weisser (composer),Joshua Samuel Weisser (composer),
S252,16.31,42711-2 ,Leonard Braun,Al Cheyt ,,06/1924,1924,NY,Em 13260,Emerson,Tenor & Orchestra,,,
S253,16.31,42749-2 ,Leonard Braun,"Feigele, from ''Di Ziese Liebe''",,07/1924,1924,NY,Em 13266,Emerson,Tenor & Orchestra,Alex Olshanetsky (director),Alexander Olshanetsky (director),
S254,16.31,42750-2 ,Leonard Braun,"Mames, Hiet Eiere Techter ",,07/1924,1924,NY,Em 13266,Emerson,Tenor & Orchestra,Alex Olshanetsky (director),Alexander Olshanetsky (director),
S255,16.32,N 106717,Cantor Israel Breeh ,Umipnei Chatoeinu-Pt. 1 ,03/1926,,1926,NY,Pat 3731,Pathe,Vocal,,,
S256,16.32,N 106717,Cantor Israel Breeh ,Umipnei Chatoeinu-Pt. 2 ,03/1926,,1926,NY,Pat 3731,Pathe,Vocal,,,
S257,16.33,x,Mr. Brener ,"Kinder, Kinder ",,1905,1905,NY,UHD&C 1191,United Hebrew Disk & Cylinder,Vocal,,,
S258,16.33,x,Mr. Brener ,Der Shalach Moneis ,,1905,1905,NY,UHD&C 1193,United Hebrew Disk & Cylinder,Vocal,,,
S259,16.33,x,Mr. Brener ,Die Shtot Ierusalim ,,1905,1905,NY,UHD&C 1194,United Hebrew Disk & Cylinder,Vocal,,,
S260,16.33,x,Mr. Brener ,Der Alte Shtot Madrid ,,1905,1905,NY,UHD&C 1195,United Hebrew Disk & Cylinder,Vocal,,,
S261,16.33,x,Mr. Brener ,"Die Trehrin, fun ''Antlofenem Soldat'' ",,1905,1905,NY,UHD&C 1196,United Hebrew Disk & Cylinder,Vocal,,,
S262,16.33,x,Mr. Brener ,Off Iener Seit ,,1905,1905,NY,UHD&C 1197,United Hebrew Disk & Cylinder,Vocal,,,
S263,16.33,x,Mr. Brener ,Ich Bleib Abocher ,,1905,1905,NY,UHD&C 1198,United Hebrew Disk & Cylinder,Vocal,,,
S264,16.33,x,Mr. Brener ,Die Heimat,,1905,1905,NY,UHD&C 1199,United Hebrew Disk & Cylinder,Vocal,,,
S265,16.34,x,Brener Quartette ,Sisu Weisimehu (Gebrochene Herzer),,1905,1905,NY,UHD&C 1059,United Hebrew Disk & Cylinder,Vocal,,,
S266,16.34,x,Brener Quartette ,Schloff Liebes Kind ,,1905,1905,NY,UHD&C 1165,United Hebrew Disk & Cylinder,Vocal,,,
S267,16.34,x,Brener Quartette ,Der Arbeiter Un Der Frihling ,,1905,1905,NY,UHD&C 1166,United Hebrew Disk & Cylinder,Vocal,,,
S268,16.34,x,Brener Quartette ,Kidesh UHD&C ,,1905,1905,NY,UHD&C 1167,United Hebrew Disk & Cylinder,Vocal,,,
S269,16.34,x,Brener Quartette ,Die 4 Chasidim ,,1905,1905,NY,UHD&C 1168,United Hebrew Disk & Cylinder,Vocal,,,
S270,16.34,x,Brener Quartette ,Sisu Weisimehu,,1905,1905,NY,UHD&C 1169,United Hebrew Disk & Cylinder,Vocal,,,
S271,16.34,x,Brener Quartette ,Die 4 Tele Lekers ,,1905,1905,NY,UHD&C 1170,United Hebrew Disk & Cylinder,Vocal,,,
S272,16.34,x,Brener Quartette ,Jsrulick Kum Aheim ,,1905,1905,NY,UHD&C 1171,United Hebrew Disk & Cylinder,Vocal,,,
S273,16.34,x,Brener Quartette ,Gott Un Sein Mishpot Is Gerecht ,,1905,1905,NY,UHD&C 1172,United Hebrew Disk & Cylinder,Vocal,,,
S274,16.34,x,Brener Quartette ,Die 4 Hebrew Sports ,,1905,1905,NY,UHD&C 1173,United Hebrew Disk & Cylinder,Vocal,,,
S275,16.34,x,Brener Quartette ,Isele Belsaks Tanoim ,,1905,1905,NY,UHD&C 1174,United Hebrew Disk & Cylinder,Vocal,,,
S276,16.35,BVE 55382-2 ,Broder Kapelle ,Tanz In Jerushelajim (Dance In Jerusalem) ,9/3/1929,,1929,"Camden, NJ","Vi V-9026, V-9037, 25-5004",Victor,"cl, unk 2 c, vln, tb, Sos, traps",Izikel Kramtweiss (clarinet),Izikel Kramtweiss (clarinet),
S277,16.35,BVE 55383-2 ,Broder Kapelle ,Beim Rebben In Palestine (With The Rabbi In Palestine) (Simchas Torah Dance),9/3/1929,,1929,"Camden, NJ","Vi V-9015, V-9038, 25-5005",Victor,"cl, unk 2 c, vln, tb, Sos, traps",Izikel Kramtweiss (clarinet),Izikel Kramtweiss (clarinet),
S278,16.35,x,Broder Kapelle ,Osczarowana Dziewczyna (Fascinating Girl)-Polka ,9/3/1929,,1929,"Camden, NJ",Vi V-16075,Victor,"cl, unk 2 c, vln, tb, Sos, traps",Izikel Kramtweiss (clarinet),Izikel Kramtweiss (clarinet),
S279,16.35,BVE 55384-2 ,Broder Kapelle ,Der Yiddisher Tanz In Jerushelajim (Jewish Dance In Jerusalem),9/3/1929,,1929,"Camden, NJ","Vi V-9015, V-9038, 25-5005",Victor,"cl, unk 2 c, vln, tb, Sos, traps",Izikel Kramtweiss (clarinet),Izikel Kramtweiss (clarinet),
S280,16.35,x,Broder Kapelle ,Przyjaciele Na Zawsze (Pals Forever)-Polka ,9/3/1929,,1929,"Camden, NJ",Vi V-16075,Victor,"cl, unk 2 c, vln, tb, Sos, traps",Izikel Kramtweiss (clarinet),Izikel Kramtweiss (clarinet),
S281,16.35,BVE 55385-2 ,Broder Kapelle ,Chernovitzer Bulgar ,9/3/1929,,1929,"Camden, NJ","Vi V-9026, V-9037, 25-5004",Victor,"cl, unk 2 c, vln, tb, Sos, traps",Izikel Kramtweiss (clarinet),Izikel Kramtweiss (clarinet),
S282,16.36,61770- ,Max Bulman (1882-1925),test recording ,07/14/1917,,1917,NY,Co,Columbia,Baritone ,,,
S283,16.36,x,Max Bulman,Jugend,2/21/1918,,1918,"Camden, NJ",Vi trial,Victor,Baritone & Piano,Max Bulman (composer); Nathaniel Shilkret (director),"Max Bulman (composer), Nathaniel Shilkret (director)",
S284,16.36,B 21790-1 ,Max Bulman,Jugend (Youth),04/19/1918,,1918,NY,Vi 72400,Victor,Baritone & Orchestra,Max Bulman (composer); Nathaniel Shilkret (director),"Max Bulman (composer), Nathaniel Shilkret (director)",
S285,16.36,B 21791-1 ,Max Bulman,Halt' Us (Hold It),04/19/1918,,1918,NY,Vi 72257,Victor,Baritone & Orchestra,Max Bulman (composer); Nathaniel Shilkret (director),"Max Bulman (composer), Nathaniel Shilkret (director)",
S286,16.36,B 21792-2 ,Max Bulman,A Massage (A Message) ,04/19/1918,,1918,NY,Vi rej,Victor,Baritone & Orchestra,Max Bulman (composer); Nathaniel Shilkret (director),"Max Bulman (composer), Nathaniel Shilkret (director)",
S287,16.36,B 21797-1 ,Max Bulman,Der Frieden (Peace),04/24/1918,,1918,NY,Vi 72400,Victor,Baritone & Orchestra,Max Bulman (composer); Nathaniel Shilkret (director),"Max Bulman (composer), Nathaniel Shilkret (director)",
S288,16.36,B 21792-3,Max Bulman,A Massage (A Message),05/02/1918,,1918,NY,Vi 72257,Victor,Baritone & Orchestra,Max Bulman (composer); Nathaniel Shilkret (director),"Max Bulman (composer), Nathaniel Shilkret (director)",
S289,16.37,B 26235-1,Jascha Bunchuk ,Dos Gevain Fon Isroel (Cry Of Israel),03/06/1922,,1922,NY,Vi 73278,Victor,Cello & Piano,Jascha Bunchuk (composer);  Gregory Gehman (piano),"Jascha Bunchuk (composer), Gregory Gehman (piano)","This artist also recorded material for Harmony (1929) and Brunswick (1936, with a ''Swing Symphony Orchestra'')."
S290,16.37,B 26236-3 ,Jascha Bunchuk ,Somneiynia (A Doubt) ,03/06/1922,,1922,NY,Vi 73278,Victor,Cello & Piano,M. Glinka (composer); Gregory Gehman (piano),"Mikhail Glinka (composer), Gregory Gehman (piano)",
S291,16.38,x,Peisachke Burstein (Vilner Komiker) (1896-1986),Die Frehliche Schneiderlach ,,1923-1924,1923,NY,Co 8017-F,Columbia,Vocal,,,"""There is a possibility that Burstein also recorded four titles as ROMAN BOGDANOWICZ in Columbia's 18000-F Polish series."""
S292,16.38,x,Peisachke Burstein ,Cheinevdige Chinke,,1923-1924,1923,NY,Co 8041-F,Columbia,Vocal ,,,"""with E. Troy"""
S293,16.38,89641-1 ,Peisachke Burstein (as B. Pavlusha),Odesskaya Svadba ,01/1924,,1924,NY,Co 20010-F,Columbia,Vocal & Orchestra,,,In Russian
S294,16.38,89642-2 ,B. Pavlusha,Zenilsia Ya Na Evotchku ,01/1924,,1924,NY,Co 20010-F,Columbia,Vocal & Orchestra,,,In Russian
S295,16.38,105429-1 ,Peisachke Burstein,"Na Dir Und Veis, from ''Tchastushkes'' ",,12/1924,1924,NY,"Co 8062-F, 13397",Columbia,Vocal & Orchestra,,,
S296,16.38,105430-2 ,Peisachke Burstein,"Husha, Shusha! ",,12/1924,1924,NY,"Co 8062-F, 13397",Columbia,Vocal & Orchestra,,,
S297,16.38,105643-1 ,Peisachke Burstein,O Katarina ,05/1925,,1925,NY,"Co 8074-F, 13395",Columbia,Vocal & Orchestra,,,
S298,16.38,105645-1 ,Peisachke Burstein,"Gelacht Und Gevaint-Cha, Cha, Cha ",05/1925,,1925,NY,"Co 8074-F, 13395",Columbia,Vocal & Orchestra,,,
S299,16.38,W 105739,Peisachke Burstein,Die Polische Chassene ,07/1925,,1925,NY,"Co 8075-F, 13380, DB232",Columbia,Vocal & Orchestra,,,
S300,16.38,W 105740-2 ,Peisachke Burstein,Fitia-Diritia ,07/1925,,1925,NY,"Co 8075-F, 13380, DB232",Columbia,Vocal & Orchestra,,,
S301,16.38,W 105828-3 ,Peisachke Burstein,Git Mir Die Meidlach Fun Amol ,08/1925,,1925,NY,Co 8080-F,Columbia,Vocal & Orchestra,L. Gilrod (composer),Louis Gilrod (composer),
S302,16.38,W 105829-3 ,Peisachke Burstein,By Mir Geht Alles Mit A Sistem ,08/1925,,1925,NY,Co 8080-F,Columbia,Vocal & Orchestra,M. Rund (composer),Morris Rund (composer),
S303,16.38,W 105880-2 ,Peisachke Burstein,Der Schneider Mit'n Shuster ,09/1925,,1925,NY,Co 8084-F,Columbia,Vocal & Orchestra,A. King (composer),Adolph King (composer),
S304,16.38,W 105881-1 ,Peisachke Burstein,Chayeh-Yite ,09/1925,,1925,NY,Co 8084-F,Columbia,Vocal & Orchestra,A. King (composer),Adolph King (composer),
S305,16.38,W 105960-1 ,Peisachke Burstein,Die Kalike ,10/1925,,1925,NY,Co 8091-F,Columbia,Vocal & Orchestra,,,
S306,16.38,W 105961-1 ,Peisachke Burstein,Shpielendig,10/1925,,1925,NY,Co 8091-F,Columbia,Vocal & Orchestra,,,
S307,16.38,W 106157-1 ,Peisachke Burstein,"Hop, Mein Meidele ",12/1925,,1925,NY,"Co 8099-F, 509i",Columbia,Vocal & Orchestra,A. Karp (composer),Abe Karp (composer),
S308,16.38,W 106158-2 ,Peisachke Burstein,"Yes Sir, Zi Iz Mein Kalleh ",12/1925,,1925,NY,"Co 8099-F, 5091",Columbia,Vocal & Orchestra,Walter Donaldson (composer),Walter Donaldson (composer),
S309,16.38,W 106270-2 ,Peisachke Burstein,Dos Eppele ,01/1926,,1926,NY,Co 8108-F,Columbia,Vocal & Orchestra,A. King (composer),Adolph King (composer),
S310,16.38,W 106271-2 ,Peisachke Burstein,"Oi, Hob Ich A Kalleh ",01/1926,,1926,NY,Co 8108-F,Columbia,Vocal & Orchestra,A. King (composer),Adolph King (composer),
S311,16.38,W 106419-1 ,Peisachke Burstein,Yiddish,03/1926,,1926,NY,Co 8110-F,Columbia,Vocal & Orchestra,R. Doctor (composer),Rubin Doctor (composer),
S312,16.38,W 106420-3 ,Peisachke Burstein,"Yerusholaim, Slavny Gorod",03/1926,,1926,NY,Co 8110-F,Columbia,Vocal & Orchestra,,,
S313,16.38,W 106624-1 ,Peisachke Burstein,"A Lesson In Liebe, fun ''A Lesson In Liebe''",04/1926,,1926,NY,Co 8115-F,Columbia,Vocal & Orchestra,A. Olshanetsky (composer),Alexander Olshanetsky (composer),
S314,16.38,W 106625-1 ,Peisachke Burstein,Ich For Aheim,04/1926,,1926,NY,Co 8115-F,Columbia,Vocal & Orchestra,D. Mayerowitz (composer),David Meyerowitz (composer),
S315,16.38,W 106674-3 ,Peisachke Burstein,"In Odess, In Odess, fun ''Volodka In Odess'' ",04/1926,,1926,NY,"Co 8i17-F, 13382",Columbia,Vocal & Orchestra,P. Sandler & L. Gilrod (composers),"Peretz Sandler (composer), Louis Gilrod (composer)",
S316,16.38,W 106675-2 ,Peisachke Burstein,"Aptziu! Tzu Gezund-Tchastushkes, fun ''Volodka In Odess''",04/1926,,1926,NY,"Co 8117-F, 13382",Columbia,Vocal & Orchestra,P. Sandler & L. Gilrod (composers),"Peretz Sandler (composer), Louis Gilrod (composer)",
S317,16.38,W 106922-2 ,Peisachke Burstein,"Motke, fun ''Ziese Liebe'' ",07/1926,,1926,NY,Co 8119-F,Columbia,Vocal & Orchestra,A. Olshanetsky & L. Gilrod (composers),"Alexander Olshanetsky (composer), Louis Gilrod (composer)",
S318,16.38,W 106923-1 ,Peisachke Burstein,Dizer Dalym ,07/1926,,1926,NY,Co 8119-F,Columbia,Vocal & Orchestra,M. Rund (composer),Morris Rund (composer),
S319,16.38,W 107207-3 ,Peisachke Burstein,Hitch-Hatch!-Tchastushkes ,10/1926,,1926,NY,"Co 8123-F, DB233",Columbia,Vocal & Orchestra,,,
S320,16.38,W 107208-3,Peisachke Burstein,Lamtza-Deritza! ,10/1926,,1926,NY,"Co 8123-F, DB233",Columbia,Vocal & Orchestra,,,
S321,16.38,W 107526-1 ,Peisachke Burstein,Purim Iz Der Bester Yom Tov ,01/1927,,1927,NY,Co 8126-F,Columbia,Vocal & Orchestra,Morris Rund (composer),Morris Rund (composer),
S322,16.38,W 107527-1 ,Peisachke Burstein,Eirev Peisech ,01/1927,,1927,NY,Co 8126-F,Columbia,Vocal & Orchestra,Morris Rund (composer),Morris Rund (composer),
S323,16.38,W 107746-1 ,Peisachke Burstein,Ich Ken Dos Nit,03/1927,,1927,NY,"Co 8133-F, 16074",Columbia,Vocal & Orchestra,,,
S324,16.38,W 107747-1 ,Peisachke Burstein,Ot Dos Hob Ich Amol Gekent ,03/1927,,1927,NY,"Co 8133-F, 16074",Columbia,Vocal & Orchestra,,,
S325,16.38,W 107980-1,Peisachke Burstein,Vos Zol Ich Ton? ,06/1927,,1927,NY,Co 8139-F,Columbia,Vocal & Orchestra,,,
S326,16.38,W 107981-1 ,Peisachke Burstein,Die Zieben Veiber! ,06/1927,,1927,NY,Co 8139-F,Columbia,Vocal & Orchestra,,,
S327,16.38,W 108202-1 ,Peisachke Burstein,Dem Shuster's Farlang Iz A Hammer Mit A Tzvang ,,08/1927,1927,NY,Co 8147-F,Columbia,Vocal & Orchestra,,,
S328,16.38,W 108203-1 ,Peisachke Burstein,Bum-Tchik-Tchik! ,,08/1927,1927,NY,Co 8147-F,Columbia,Vocal & Orchestra,,,
S329,16.38,W 108300-2 ,Peisachke Burstein,"Vos Toig Es Aich, Vos Darft Ihr Es, fun ''Zein Yiddish Meidel''",09/1927,,1927,NY,"Co 8151-F, 13371, DB66",Columbia,Vocal & Orchestra,S. Secunda & A. Schorr (composers),"Sholom Secunda (composer), Anshel Schorr (composer)",
S330,16.38,W 108301-1 ,Peisachke Burstein,"Ai-Dai-Derai-Dai-Tchastushkes, fun ''Zein Yiddish Meidel''",09/1927,,1927,NY,"Co 8151-F, 13371, DB66",Columbia,Vocal & Orchestra,S. Secunda & A. Schorr (composers),"Sholom Secunda (composer), Anshel Schorr (composer)",
S331,16.38,W 108458-2 ,Peisachke Burstein (as Paul Burstein),"I Like She, fun ''A Nacht In California'' ",11/1927,,1927,NY,Co 8153-F,Columbia,Vocal & Orchestra,A. Olshanetsky (composer),Alexander Olshanetsky (composer),
S332,16.38,W 108459-2 ,Paul Burstein,"Petrograd, fun ''A Nacht In California'' ",11/1927,,1927,NY,Co 8153-F,Columbia,Vocal & Orchestra,A. Olshanetsky (composer),Alexander Olshanetsky (composer),
S333,16.38,W 108699-1 ,Peisachke Burstein,"Tru-La-La, fun ''Ven Liebe Ruft''",01/1928,,1928,NY,"Co 8161-F, 5092, 13368",Columbia,Vocal & Orchestra,Sholom Secunda (composer),Sholom Secunda (composer),
S334,16.38,W 108700-2 ,Peisachke Burstein,Abisele Fun Du Un Abisele Fun Dort,01/1928,,1928,NY,"Co 8161-F, 5092, 13368",Columbia,Vocal & Orchestra,Sholom Secunda (composer),Sholom Secunda (composer),
S335,16.38,W 108769-2 ,Peisachke Burstein,"Die Fier Natzionen, fun ''Ven Liebe Ruft''-Pt. 1",02/1928,,1928,NY,Co 8166-F,Columbia,Vocal & Orchestra,Sholom Secunda (composer),Sholom Secunda (composer),
S336,16.38,W 108770-2 ,Peisachke Burstein,"Die Fier Natzionen, fun ''Ven Liebe Ruft''-Pt. 2",02/1928,,1928,NY,Co 8166-F,Columbia,Vocal & Orchestra,Sholom Secunda (composer),Sholom Secunda (composer),
S337,16.38,W 108969-2 ,Peisachke Burstein ,"A Sach Meloches Un Venig Broches, fun ''Dem Tatens Zuhndele''",03/1928,,1928,NY,Co 8169-F,Columbia,Vocal & Orchestra,H. Wohl (composer),Herman Wohl (composer),
S338,16.38,W 109071-2 ,Peisachke Burstein,A Kalleh Bazetzen ,05/1928,,1928,NY,Co 8169-F,Columbia,Vocal & Orchestra,M. Rund (composer),Morris Rund (composer),
S339,16.38,W 109284-2 ,Peisachke Burstein,Die Bobe Mit'n Zeiden ,05/1928,,1928,NY,Co 8172-F,Columbia,Vocal & Orchestra,Sholom Secunda (composer),Sholom Secunda (composer),
S340,16.38,W 109285-1 ,Peisachke Burstein ,Russland-Russland ,05/1928,,1928,NY,Co 8172-F,Columbia,Vocal & Orchestra,Sholom Secunda (composer),Sholom Secunda (composer),
S341,16.38,W 109370-3 ,Peisachke Burstein,Laugh! Clown! Laugh! ,,05/1928,1928,NY,"Co 8173-F, 16105",Columbia,Vocal & Orchestra,Ted Fiorito (composer),Ted Fio Rito (composer),
S342,16.38,W 109371-1 ,Peisachke Burstein ,Ramona ,,05/1928,1928,NY,"Co 8173-F, 16105",Columbia,Vocal & Orchestra,Mabel Wayne (composer),Mabel Wayne (composer),
S343,16.38,W 109493-1 ,Peisachke Burstein,Der Nayer Al Chet ,07/1928,,1928,NY,Co 8176-F,Columbia,Vocal & Orchestra,,,
S344,16.38,W 109494-2,Peisachke Burstein ,Der Nayer Mai Ko Mashma Lon ,07/1928,,1928,NY,Co 8176-F,Columbia,Vocal & Orchestra,,,
S345,16.38,W 109640-1 ,Peisachke Burstein,"Nehm Fun Dem Leben Vi Es Geht, fun ''Zein Mame's Geliebter''",09/1928,,1928,NY,Co 8177-F,Columbia,Vocal & Orchestra,P. Laskowsky (composer),Philip Laskowsky (composer),
S346,16.38,W 109641-1 ,Peisachke Burstein ,"Nu, A Daigeh, fun ''Dos Lied Fun Liebe'' ",09/1928,,1928,NY,Co 8178-F,Columbia,Vocal & Orchestra,Sholom Secunda (composer),Sholom Secunda (composer),
S347,16.38,W 109642,Peisachke Burstein,"Hurray Far New York, fun ''Dos Lied Fun Liebe'' ",09/1928,,1928,NY,Co 8178-F,Columbia,Vocal & Orchestra,Sholom Secunda (composer),Sholom Secunda (composer),
S348,16.38,W 109643-2 ,Peisachke Burstein ,"Halleluja, Ich Bin A Bom ",09/1928,,1928,NY,Co 8177-F,Columbia,Vocal & Orchestra,,,
S349,16.38,W 109838-1 ,Peisachke Burstein,Zuhnele Meins (Sonny Boy) ,10/1928,,1928,NY,"Co 8181-F, 16221",Columbia,Vocal & Orchestra,"Al Jolson, De Sylva, Brown, Henderson (composers)","Al Jolson (composer), Buddy De Sylva (composer), Lew Brown (composer), Ray Henderson (composer)",
S350,16.38,W 109839-1 ,Peisachke Burstein ,"Men Ken Leben Nor Men Lozt Mit, fun ''Dos Circus Meidel''",10/1928,,1928,NY,"Co 8181-F, 16221",Columbia,Vocal & Orchestra,J. Rumshinsky (composer),Joseph Rumshinsky (composer),
S351,16.38,W 110176-1 ,Peisachke Burstein,Piri-Diri-Diorgala ,12/1928,,1928,NY,"Co 8184-F, DB67",Columbia,"Vocal, Orchestra, Chorus",Peisachke Burstein (composer),Peisachke Burstein (composer),
S352,16.38,W 110177-1 ,Peisachke Burstein ,"Eliohu Hanovi, Eliyohu Hatishbi ",12/1928,,1928,NY,"Co 8184-F, DB67",Columbia,"Vocal, Orchestra, Chorus",Philip Laskowsky (composer),Philip Laskowsky (composer),
S353,16.38,W 110093,Peisachke Burstein ,Shlof Mein Kind ,01/1929,,1929,NY,Co rej,Columbia,Vocal & Orchestra,,,
S354,16.38,W 110094-2 ,Peisachke Burstein,Wen Ich Bin Reich ,01/1929,,1929,NY,"Co 8188-F, DB68",Columbia,Vocal & Orchestra,I. Rosenberg (words),I. Rosenberg (words),
S355,16.38,W 110093-3 ,Peisachke Burstein ,Shlof Mein Kind ,02/1929,,1929,NY,"Co 8188-F, DB68",Columbia,Vocal & Orchestra,,,
S356,16.38,W 110348-1 ,Peisachke Burstein,Der Galicianer Cavallero (A Gay Caballero),02/1929,,1929,NY,Co 8185-F,Columbia,Vocal & Orchestra,F. Crumit & L. Markowitz (composers),"Frank Crumit (composer), Louis Markowitz (composer)",
S357,16.38,W 110349-2 ,Peisachke Burstein ,Sheindele,02/1929,,1929,NY,Co 8185-F,Columbia,Vocal & Orchestra,,,
S358,16.38,W 110570-2 ,Peisachke Burstein,"Hotza Mamma, Pirba Tzotza ",04/1929,,1929,NY,Co 8194-F,Columbia,Vocal & Orchestra,Peisachke Burstein (composer),Peisachke Burstein (composer),
S359,16.38,W 110571-2 ,Peisachke Burstein ,"Alein ''Sam"" ",04/1929,,1929,NY,Co 8194-F,Columbia,Vocal & Orchestra,I. Rosenberg (composer),I. Rosenberg (composer),
S360,16.38,W 110798-1 ,Peisachke Burstein,Beigelach,05/1929,,1929,NY,Co 8195-F,Columbia,Vocal & Orchestra,,,
S361,16.38,W 110799-3 ,Peisachke Burstein ,"Yidden, Loift Tzum Rebbin",05/1929,,1929,NY,Co 8195-F,Columbia,Vocal & Orchestra,Sholom Secunda & S. Smulewitz (composers),"Sholom Secunda (composer), Solomon Smulewitz (composer)",
S362,16.38,W 111193-2 ,Peisachke Burstein,Dos Leben Fun A Tramp-Pt. 1 ,10/1929,,1929,NY,Co 8202-F,Columbia,Vocal & Orchestra,,,
S363,16.38,W 111194-1 ,Peisachke Burstein ,Dos Leben Fun A Tramp-Pt. 2,10/1929,,1929,NY,Co 8202-F,Columbia,Vocal & Orchestra,,,
S364,16.38,W 111414-2 ,Peisachke Burstein,A Lustige Minut ,12/1929,,1929,NY,Co 8203-F,Columbia,Vocal & Orchestra,,,
S365,16.38,W 111415-2 ,Peisachke Burstein ,Whoopee,12/1929,,1929,NY,Co 8203-F,Columbia,Vocal & Orchestra,Sholom Secunda & I. Rosenberg (composers),"Sholom Secunda (composer), I. Rosenberg (composer)",
S366,16.39,59500,Cantor's Association Of America,V'hakohanim,,1916,1916,NY,Co E5155 (12''),Columbia,Chorus,Leon M. Kramer (director),Leon M. Kramer (director),
S367,16.39,59510-1 ,Cantor's Association Of America,Od Yiskor Ionu-Pt. 1 ,,1916,1916,NY,Co E5174 (12''),Columbia,Chorus,Leon M. Kramer (director),Leon M. Kramer (director),
S368,16.39,59511-1 ,Cantor's Association Of America,Od Yiskor Ionu-Pt. 2,,1916,1916,NY,Co E5174 (12''),Columbia,Chorus,Leon M. Kramer (director),Leon M. Kramer (director),
S369,16.39,x,Cantor's Association Of America,V'cach Hoyo Omer ,,1916,1916,NY,"Co E5155 (12"")",Columbia,Chorus,Leon M. Kramer (director),Leon M. Kramer (director),
S370,16.39,x,Cantor's Association Of America,Omnom Ken-Pt. 1,,1916,1916,NY,Co E5156 (12''),Columbia,Chorus,Leon M. Kramer (director),Leon M. Kramer (director),
S371,16.39,x,Cantor's Association Of America,Omnom Ken-Pt. 2,,1916,1916,NY,Co E5156 (12''),Columbia,Chorus,Leon M. Kramer (director),Leon M. Kramer (director),
S372,16.40,x,Nellie Casman & Rubin Doctor,Getin Zich ,04/15/1918,,1918,NY,Vi trial,Victor,Vocal & Piano,Edward T. King (piano),Edward T. King (piano),
