NAME
Simon Tenovsky Orchestra
"Corman, William"
Hollywood Studio Orchestra
"Holt, Will"
"Holtzman, J."
"Holzenkamp, W., arr"
"Honig, Isaac / Suki & Deng chorus"
"Honigsberg, Ernesto & His Orch"
"Horowitz, Ber"
"Horowitz, Ber (1895-1938) )"
Horowitz I.
"Horwitz, Bracha (Bea)"
"Horowitz, Grand Rabbi Moshe"
"Horowitz, Joshua"
"Horowitz, Martin, organ"
"Horowitz, Norbert"
"Horowitz, Poldy, conductor"
"Horowitz, Poldy, conductorr"
"Horowitz, Rabbi Avraham C."
"Horowitz, Rabbi Yitskhok"
"Horowitz, Rabbi Yitskhok)"
"Horowitz, Rochelle"
Hot Pstromi (Successor to Zmiros)
"Houri, Yosi"
"Houri, Y., arr"
"Houri, Y., arranger"
"Houri, Yosef, arr"
"Houri, Yosef, arranger"
"Houston, Cisco"
"Hovey, Serge"
"Hovey, Serge, arr"
"Hovey, Serge, cond"
"Hovora, Daria, piano"
"Howard, Hersh"
"Howard, P."
"Howard, Willie"
"Howe, Irving"
"Howe, Julia Ward"
"Hoy, Bob"
Hristina Morfova Female Choir
"Hrusovsky, Ivan (b.1927)"
"Huckridge, M."
"Huff, Harry, organ"
"Hughes, Brigadier General Glyn"
"Hughes, Cris, piano"
"Hughes, Langston"
"Hugo, Victor / trans Lev May"
Hung St Op Hse Chamber Orch & Chor
Hung State Op Hse Chamb Orch & Cho
Hungarian State Orchestra
"Huppert, Joshua, violin solo"
"Hurst, Robert, solo"
"Hutchinson, H."
"Hyams, Ario S."
"Hyman, Jeri"
"Ibn Ezra, Abraham"
"Ibn Gabirol, Solomon"
"Ibn Labrat, Dunash"
"Ibn-Ezra, Abraham"
"Idelsohn, Avraham Zvi"
"Idelson, Jerry"
"Idov, Shlome"
"Ignatov, David"
Ilan & Ilanit
"Ilan Gilboa, arr"
Ilan and Ilanit
Ilanit
Illan and Illanit
"Imber, Naftali Herz"
"Imber, S."
"Imber, Samuel Jacob (1889-1941)"
"Imber, Samuel Jacob (1889-1942)"
"Indelman, A."
"Indelman, Elkhonen"
"Ingber, Richard"
"Inger, Richard"
Instrumental Ensemble
International Vocal Soloists Ensem
International Vocalists Ensemble
"Intra, Enrico"
"Intra, Enrico, arr"
"Iofe, L. (?)"
"Irenstein, Reb Menakhem"
"Isaac, Rabbi Simeon bar"
"Isaacs, Adrian, director"
"Isaacs, Ron"
"Isaacson, Michael"
"Isaacson, M & Scott Lavender, arr"
Isaak Dunaevski (1900-1955)
Isaiah
"Isokovsky, Mikhail Vasilievich"
Israel Army Band
Israel Army Band & Choir
Israel Broadcasting Authority Orch
Israel Brdcstng Symph Orch
Israel Brdcstng Symph Orch & Choir
Israel Broadcasting Orch.
Israel Broadcastng Orch
Israel Broadcstng Orch
Israel Classical Ensemble
Israel Klezmer Ensemble
"Israel Philharmonic Orchestra, Members"
"Israel Philharmonic Orch, Strings & Bass"
Israel Philharmonic Orchestra
Israel Recording Orch
Israel Symphony Orchestra
"Israel, Rabbi (Der Alter Rebbe)"
"Israel, Rabbi of Koznits"
Israeli Cast
Israeli Concert Band
Israeli Enterainment Ensemble
"Israeli Festival, Choir"
Israeli Philharmonic Players
Israeli Strings
Israeli Uzbekistanis
"Israeli, Shimon"
"Israeli, Shimon and Choir"
"Itkina, Maria"
"Brodsky, Michael"
"Itskhaki, Israel"
"Ivanovice, Ivan"
"Ivanovici, Ivan"
"Ivanovitsh, Ivan"
"Ives, Charles (1874-1954)"
"Ivker, Moyshe (1898-1972) ?"
"Ivonoffski, Voltr, Orch Dir"
"Ivonoffski, Voltr, orch conductor"
"Ivry, Itzkhak."
J.C.C. Singers (Toronto)
"Jabotinski, Zev"
"Jabotinsky, Ze'ev"
Jacinta
"Jackson, Marc, arr & cond"
"Jacob, Helen"
"Jacobi, King, McFadden & Dorin"
"Jacobi, Lou"
"Jacobi, Miriam / Ahuva Shai"
"Jacobi, Walker, Leeds, Holland..."
"Jacobowitz, Fred"
"Jacobs, Jackie"
"Jacobs, Jacob"
"Jacobs, Jacob & Charlotte Cooper"
"Jacobs, Jacob / Gallop"
"Jacobs, Jacob / Isadiore Lillian"
"Jacobs, Jacob / Isadore Lillian"
"Jacobs, Jacob / J. Holtzman, Span"
"Jacobs, Jacob / Molly Picon (?)"
"Jacobs, Jacob / Sammy Cahn"
"Jacobs, Jacob/ Sammy Cahn, Eng"
"Jacobs, Jacob/ Saul Chaplin, Eng"
"Jacobs, Liebgold, Rekhtseyt"
Jacobson
Jacobson ??
"Jacobson, H."
"Jacobson, Hymie"
"Jacobson, Hymie (Yid)"
"Jacobson, Hymie, Eng"
"Jacobson, Irving"
"Jacobson, Joshua"
"Jacobson, M."
"Jacobwitz, Fred"
"Jacok, Willie & Nunu"
"Jadlowker, Khazn Hermann 1877-1953"
Jaffe - Levy
"Jaffe, Ben & Orch"
"Jaffe, David, narrator"
"Jaffe, J."
"Jaffe, L."
"Jaffe, M."
"Jaffe, Marie, Yiddish"
"Jaffee, Louis"
"Jaffe, Moe"
"Jaffee, Moe / Gordon"
Hardt
Morse
"Jaffee, Moe / Morse / Hardt"
Jagoda Family
"Jagoda, Flory"
"Jagoda, Flory, adaptation"
"Jagst, Herbert"
"Jakob, Willi"
"Jakob, Willie & Nunu"
"Jakobson, Thora"
"James, Harlan, piano"
"James, Harry, trumpet"
"Janigro, Antonio, cello"
"Janigro, Antonio, cello (b.1918)"
"Janik, Stanislaw"
"Janis, Norman"
"Janowski, Max"
"Janusz, Mike and Ethel Raim"
"Japhet, Israel Meyer"
"Jarczyk, Halina"
"Jaroka, Elmer Ensemble"
"Jarre, M."
"Jarre, Morris"
"Jasnitz, Ofar & Klezmorim Sher"
"Javori, Ferenc"
"Jay, Morty"
"Jean-Aubry, G."
"Jean-Claude, fluteo"
"Jelin, A. (?)"
"Jenkins, Gordon"
Gordon Jenkins Orchestra
"Jensen, Richard Hytholm"
Jeremie
Jerusalem Art Trio
Jerusalem Jazz Band
Jerusalem Symphony Orch
"Jessel, George"
"Jessen, Peter"
Jewish Chamber Musical Theatre
Jewish Instr Ensemb of Toronto
Jewish Instr Ensemble of Toronto
Jewish Male Voice Choir Manchester
Jewish Music League of Phila
Jewish Music League of Tel Aviv
Jewish People's Philharmonic Chorus
Jewish Peoples Chorus of N. Y.
Jewish Wedding Dances Ensemble
Jewish Young Floksingers
Jewish Young Folksingers
"Jeziorski, Jeff, clarinet"
"Jinich, Leybele"
"Jitomirsky, L., arr"
"Jmykov, V. & Sampson Galperin, arr"
"Jmykov, V. and S. Galperin, arr"
"Joachim, Heinrich, cello"
"Joachimowicz, Abraham"
"Jochsberger, Tsipora H."
Joel Rubin Jewish Music Ensemble
"Joffe, G. & R. Giverts, arr"
"Joffe, L."
John Zorn's Masada
"Johnson, Bob, director"
"Johnson, Herschel"
"Johnson, Lisa & 24 St Klezmer Band"
"Johnson, Lisa & 24th St Klezmer"
"Johnson, Lisa, dir"
"Johnson, Sandra"
"Johnson, Sandra/ Suzy Miller"
Johny And Jones (?)
"Jolson, Al"
"Jolson, Al / Martin Fried"
"Jona, Alberto"
"Jones, Betty, soprano"
"Jones, I."
"Jones, Jacl"
"Jones, L. E."
"Jones, Lisa & Machaya Klezmer Band"
"Jones, Robert, conductor"
"Jones, Spike, arr,"
"Jones, Stan"
"Jong, B. W. de"
Jontef
"Joplin, Scott"
"Jorgi, Thilo"
"Joseph, Richard & Inger Orchestra"
"Josephson, Ragmar"
Judith
"Jujans, Andrejs, arr (1856-1922)"
"Julius, Oscar"
"Julius, Oscar Quartet"
"Julovsky, Yeszhe"
"Jurgens, U."
K'nufiyah with Izhar Cohen
KEPS
KI Choristers
"Kalib, Sholom"
"Kab, Khona & Fayerlekh Folk Ens"
Kabalas
"Kabalevsky, Dimitri, piano"
"Kabalevsky, Dmitri"
"Kabtzan, A. ensemble"
"Kacmann, Emil, bass"
"Kacmann, Emile"
"Kacmann, Emile, bass"
"Kaczerginski, Shmerke"
"Kaddari, Yehuda, conductor"
Kadima Palestine Company 1. Cast
"Kadima Palestine Company 1., Cast"
Kadimah Group of Hadassah
"Kadmon, D."
"Kaempfert, Bert"
"Kagan, Alex"
"Kagen, Michael"
"Kahan, A."
"Kahan, Bente"
"Kahane, R' Yosef Moshe"
Kahn
Kahn / Erdman
"Kahn, Percy"
"Kahn, Sh."
"Kahn, Si"
"Kahn, Si and Charlotte Brody"
"Kaimonovsky, E."
"Kalbouss, Lonya"
"Kaleska, Nina"
"Kaletshnikov, Z."
"Kalib, Cantor Sholom"
"Kalish, K and Moshe Kraus"
"Kalman, Cantor Tamas"
"Kalmanoff, Martin"
"Kalmar, Bert"
"Kalonymos, Moses Ben"
"Kalonymus, Moses Ben"
"Kalusky, Yakov"
"Kambanelli, Iakov"
"Kame, Harriet & Marty Levitt Orch"
"Kaminska, Ida"
"Kaminska, Ida and M. Bauman"
"Kaminska, Rakhl"
"Kaminska, Rakhl / Calel Rapaport"
"Kaminska, Ruth"
"Kaminski, I."
"Kaminski, Yosef"
Bruce Kaminsky's Klezmer Jazz Ensemble
"Kammen, Jack"
"Kammen, Shira and Devorah Shaw"
"Kamzon, Y. D."
"Kan, A. (?)"
"Kanapoff, Fishel"
Kandel's Orchestra
"Kandel, Harry"
Harry Kandel Orchestra
"Kander, J."
"Kandor, John"
"Kane, Arlene"
"Kane, Harriet"
"Kane, Harriet & Marty Levitt Orch"
"Kaner, Abner, arr"
"Kanewsky, Cantor Meyer"
"Kaniel, Eli"
"Kaniel, Eli, arr and cond"
"Kannon, Jackie"
"Kantor, Etan"
"Kaomann, Emil with organ & chorus"
Kapela Warszawska
Kapelye
Kapeyle and Michael Alpert
"Kaplan, Abraham"
"Kaplan, Abraham, chor dir"
"Kaplan, D., arranger"
"Kaplan, Joel, clarinet"
"Klaplan, Jordan"
"Kaplan, Mikhl"
"Kaplan, Peysakh"
"Kapov-Kogan, Cantor Ben Zion"
"Karachevsky, Ben"
"Karachevsky, Maurice"
"Karas, Joza, cond"
"Karen, Kenny"
"Karin, Rita"
"Karlin, Miriam"
"Karlin, Miriam and Chorus"
"Karlin, Miriam and Iain Kerr"
"Karlin, Miriam, Roy Cowen & Chorus"
"Karlov, Boris"
"Karman, Gyorgy, organ"
"Karman, Jonathon, director"
"Karman, M. Ts."
Karmon Israeli Dancers and Singers
"Karmon, Jonathan"
"Karpel, Deborah"
"Karpel, Deborah & Metropol Klezmer"
"Karpen, Adnreas (1943)"
"Karpinovitsh, Avraham"
"Karpinovitsh, Rita"
"Karpinska, Zofia"
"Kartsevsky, Khaim"
"Karz, Leonard"
Kasbek/ Frieder Breitkreutz b1944
Kasetan
Kashavaroff
"Kashi, Aliza"
"Kashi, Aliza & Gidon Singer"
"Kashi, Aliza & Nachal Troupe"
"Kashi, Aliza & Shimon Bar"
"Kashtan, M."
"Kashtan, Michael"
"Kaspi, B."
"Kassner, Eli"
"Kasura, W. arr & adapt by Sobacki"
"Katchko, A."
"Katz, Alef"
"Kats, Ephriam, arranger"
"Kats, Esti"
"Katz, Jozi"
"Katsev, S."
"Katsir, Dov"
"Katsman, Dr. Jacob, narration"
"Katsovitsh, Lev"
"Katz, A."
"Katz, Beresh"
"Katz, Brian"
Fraidy Katz
"Katz, Fred"
"Katz, Sholom"
"Katz, Manny"
"Katz, Marcos"
"Katz, Mickey"
"Katz, Shmuel, piano"
"Katz, Yovav"
"Katz, Yovav / Herbert Kretzmer"
"Katz, Yovav / J. Holtzman, Spanish"
"Katz, Yovav / Moshe Sakhar, Yid"
"Katznelson, Yitzkhak"
"Katzman, Abe"
"Katzman, Dr. Jacob"
"Katzman, Dr. Joseph, Narration"
"Katzman, Dr. Theodore, Narration"
"Katzman, Narrator"
"Katzovich, L."
"Kaufman, Cantor Melekh"
"Kaufman, Melekh"
"Kaufmann, Nikolai, arranger"
"Kauriga, Gregory, violin solo"
"Kauriga, Paul conductor & arr"
"Kauriga, Paul, balalika solo"
"Kauriga, Tania, vocal"
"Kavadlo, Gene"
"Kavetsky, S."
"Kay, Hershy"
Kaye Judy
Kaye Judy & William Sharp
"Kaye, Danny"
"Kaye, Harriet"
"Kaye, Judy"
"Kaye, Lenny and his Orchestra"
Kazablan Cast
Kazablan Cast - The Gang
Kazablan Gang and Girls
"Kazakevitsh, E."
"Kazakevitsh, Emanuel"
"Keane, Delores & De Dannan"
"Kehati, Pinkhas"
"Keith, Marilyn & Alan Bergman"
"Kelemer, S. & Moshe Kraus"
"Kelemer, Shmuel"
"Keller, Sheldon"
"Keller, Werner, orch"
"Keller, Werner, organ"
"Kellerstein, Faye"
"Kellerstein, Faye, Yid"
"Kellin, Mike"
"Kelly, M."
"Kelly, M. arranger"
"Kelly, M., arranger"
"Kelman, R."
"Kemelmakher, Sampson"
"Kempin, Daniel"
"Kenan, Rafi"
"Kenen, Amos"
"Kenen, Rafi"
"Kenigsberg, Dovid"
"Kenigsberg, R."
"Kenisgsberg, R."
"Kenner, Avner, arrangement"
Kent
"Keren, Tsvi, Piano"
"Kerets, L., arranger"
"Kerler, Yosef"
"Kermit, Leslie"
"Kern, Jerome"
"Kerr, Iain"
"Kersjes, A., arr"
"Kerton, Egon, arr"
"Keshet, Sassi"
"Kesilman, Edythe"
"Kesler, Linda"
"Kessler, Dovid"
"Kessler, G."
"Kessler, Jenny"
"Kessler, Hazzan Jack"
"Kessler, Hazzan Jack & Atzilut"
"Kessler, Hazzan Jack, director"
"Kessler, Sholom"
"Kessler, Susan, mezzo suprano"
"Kessler, Suzan, mezzo soprano"
"Kessler, Tony, arr"
"Keval, Zsuzsa, soprano"
"Key, Daniel"
"Key, Samuel"
"Keyl, J."
"Keyl, Y."
"Keynan, Yitskhak"
"Keynen, Amos & Khaim Khefer"
"Keyzer, M."
Khachaturian
"Khagiz, Yechiel"
"Khaim, Yitskhok"
"Khaim, Elayahu"
"Khalfi, Shimon"
"Khalfi, Shimshon"
"Khana, Tsvi Bar"
"Khanokh, Sholom"
"Khapp, Gregory W., arr"
"Kharife, Zerara (?)"
"Kharik, Izi"
"Kharitonov, Rabbi Sholom"
"Kharnitov, Rabbi Sampson"
Khasidic Choir and Orch
Khasidic Festival Chorus
Khasidic In America
Khasidic Klezmer Ensemble
Khasidic New Wave
"Khasin, A."
Khassidic New Wave
"Khavatselet, Z."
"Khayat, Isaac Ibn"
"Khayatovsky, Benjamin (Benyumen)"
"Khayet, Dovid"
"Khayet, Dovid, soloist"
"Khayiatovki-Khadab, Bela, soloist"
"Khazak, Yishai ben Mordecai"
"Khefer, Khaim / M. Norman, Eng"
"Khen, Nira"
"Khen, Shula"
Kheytin-Weinstein Khana
"Khiotovsky-Khadab, Bela, soloist"
"Khitman, Uzi"
"Khitman, Uzi & Duo Reim"
"Khitman, Uzi & Misha Blekherovits"
"Khitman, Uzi & Oded Ben Hur"
"Khitman, Uzi, Oded Ben Hur & Zim"
"Khmelnitski, Melekh"
"Charats, Meyer"
"Khromchenko, Solomon Markovich"
"Khuri, Yosef, arranger"
"Khushi, Aba"
"Kibel, S."
"Kiberman, Sam"
Kiddish Club & R' Gedalia Zweig
Kienzl
"Kikhali, M. (Yid)"
"Kimelman, Amikam, arr"
"Kimmel, John"
"Kinas, Lily"
"King, Adolf"
"King, Adolf / Van Heuzen / Kurtz"
"King, Joe Orchestra"
"King, Joe and his Orchesta"
"King, Joe and his Orchestra"
"King, Joe and hist Orch"
"King, M and T. L. Garrett, arr"
"King, M. and T. L. Garrett, arr"
"King, McFadded, Dorin & Goodman"
"King, Pete"
"King, Robert"
"Kingsford, Charles, piano, organ"
"Kingsley, Gershon"
"Kinner, B., M. Vishnykaya, G. Lev"
"Kinnor Child Choir, Riga, Latvia"
"Kipnis, L. / Wolli Kaelter, Eng"
"Kipnis, Lewin"
"Kirkland, Lane"
"Kirkland, Lane AFL CIO"
"Kirkwood, James, cello"
"Kirshblum, Rabbi I. Usher, narrat"
"Kishegyi, Arpad, Baritone"
"Kishegyi, Arpad, Tenor"
"Kishon, Ephfraim"
"Kishon, Ephriam"
"Kisser, Getrude"
"Kissinger, Henry"
"Kittridge, Walter"
"Klass, Lillian, organist"
"Klatskin, Raphael"
"Klatskin, Raphael and Choir"
"Klatzkin, Herman"
"Klayman, Lou and his Orch"
"Klayman, Lou and his Orchestra"
"Klein, A. & Alisa Pomerantz-Boro"
"Klein, Betty"
"Klein, Ervin & Tamas Kalman (Khaz)"
"Klein, Gideon"
"Klein, Cantor Adina"
"Klein, Hazzan Adina"
"Klein, Cantor Ari & Choir"
"Klein, Cantor Ervin"
"Klein, Manya"
"Klein, Mory"
"Klein, Rabbi Max"
"Klein, Rabbi Yaacov"
"Klein, Zivia"
"Kleiner, Fran"
"Kleinman, Cy"
"Kleinman, S."
"Kleinman, Seymour"
"Kleinman, Sy"
Kleitanim
"Klemeriutis, G. ?"
"Klenetski-Weiner, Rivka"
"Klenitskis, A."
"Klenitskis, A., chamber orchestra"
"Klepfisz, Irena"
"Klepper, Jeff"
"Kless, Yair, Violin"
"Kletter, Max"
"Kletter, Max / Bobby Kroll"
"Klatskin, Raphael / Shmuel Fisher, Yid"
"Klatskin, Raphael/ Khaim Tauber, Yid"
Klexmer V'od
"Kleynbaum, J."
"Kleynbaum, Y."
Klez V'od
Klezamir
Klezical Tradition
Klezmania
"Klezmania & David Krycer, clarinet"
Klezmatics
Klezmatics & Les Miser..Brass Band
"Klezmatics & Lorin Skamberg, vocal"
"Klezmatics, Andy Statman Klez Orch"
"Klezmatics, arr"
Klezmer Conservatory & Y. Perlman
Klezmer Conservatory Band
Klezmer Ensemble
Klezmer Plus
Klezmer Pow Wow
Klezmer V'od
Klezmerduo
Klezmerim [M-060(a)]
"Klezmokum, Burton Green, dir/piano"
Klezmorim
Klezmorim Sher
"Klezmorim, Donald Thornton, dir"
"Klezmorim, arr."
"Klezmorim, arrangement"
"Klezmorim, arrangments"
"Klif, Sora (?)"
Kliger
"Kliger, Kehos"
"Kliger, Yair / Mikhl Peres"
"Klinger, Yair"
"Klinger, Yair, arranger"
"Klinger, Yair/ Eldad Shrem, arr"
"Klotz, Helmut, director"
"Klotz, Helmut, tenor"
"Klotz, Helmut/ Rudolf Riemer"
"Klotz, Herman, tenor"
"Klpefisz, Irena, script"
"Klucevek, Guy"
"Kluger, Ludo"
"Kluger, Y. / Yaakov Shapiro, Yid"
"Klugman, Ezra"
"Klugmin, L. ?"
"Kmiec, Jozef Orchestra"
"Knapfheise, M."
"Knapheise, M."
"Knapp, Alexander"
"Knee, Bernie"
Knesseth Israel Cong Choir
Knesseth Israel Congreg Choir
Knobleman
"Koamann, Emil with organ & chorus"
"Koamann, Emil, with organ & chorus"
"Koblinsky, Frank D."
"Kobrin, Leon"
"Koch, Claudia"
"Kochinska, Ilana"
"Koczan, Caroline"
"Kodaly, Zoltan"
Koeneman
"Koffman, Alex"
"Koffman, David"
"Koffman, David & Ron Isaacs"
"Koffman, David & Ron Issacs"
"Kogan, A. & Deborah Lesser, flute"
"Kogan, Alice, flute"
"Kogan, Eddy"
"Kogan, Leon"
"Kogan, Lev"
"Kogos, Fred"
"Kohler, Gesine"
"Kohlsaat, Caroline"
"Kohn, Jeno"
Kohon Harold/ Raymond Schweitzer
Kohon String Quartet
Kol Aviv
Kol Aviv Ensemble
Kol Israel Choir
Kol Israel Orchestra
Kol Israel Recording Orchestra
Kol Israel Symphony Orchestra
Kol Simcha (Switzerland)
Kol Simcha Orchestra of Montreal
Kol Yisroel Light Orchestra
"Kol, Bertha soprano"
"Kol, Bertha, soprano"
Koleshnikof
"Kolesnikow, Z."
"Koleznikow, Z."
"Kolinski, Mieczyslaw"
"Kolinski, Mieczyslaw, arranger"
Koll
"Kolleck, Teddy, narration"
"Koller, R."
"Kolman, Peter (b.1937)"
"Kolodni, Yosele"
Kolon Ensemble
"Kompaneyets, Zinovi"
"Kon, Henekh"
"Kondrashin, Kiril"
"Konecky, Doug"
"Konecky, Doug & Justin Wilde"
"Konecny, Petra"
Konskowolski
"Konstantinowski, Moshe"
"Kook, Rav Avraham Isaac"
"Kopenhagen, Hannah & Kleitanim"
"Kopit, H."
"Koplanski, Shimon"
"Koplansky, Shimon"
"Kopmar, Cantor Jerome B."
"Koprak, Moshe"
"Koran, Avinoam"
"Korelc, Sandra"
"Koren, Avi"
"Koren, Avi, Heb"
"Koren, Avi, Heb / Jacobs, Jacob"
"Koren, Avi, Heb / Lebedoff, Aaron"
"Koren, Avi, Heb / Manger, Itsik"
"Koren, Avi, Heb / Pollack, Lou"
"Koren, Avi, Heb / Royzenblat, H."
"Koren, Avi, Heb / Yudovitsh, A."
"Koren, Avi, Heb /Gebirtig, Mordkhe"
"Koren, Avi, Heb /Picon, Molly"
"Koren, Avi, Heb /Witler, Ben Tsion"
"Koren, Avi, Heb."
"Koren, Avi, Heb/ Yablakoff, Herman"
"Koren, Carmela"
"Koren, Gidi"
"Koretzky, Henry"
"Korman, J."
"Korman, Moyshe"
"Korman, Nosn Dovid"
"Korn (Rakhl), Rachel"
"Korn, Avi"
"Korn, Avi / Yaakov Shapiro, Yid"
Kornblit
"Kornecka, Ewa"
Kornienko
"Korntayer, S."
"Korntayer, S./ Leo Fuld, Eng"
"Koron, A."
"Kortis, Edward"
"Kosakoff, Reuben"
"Kosch, S, flute"
"Kosek, Miroslav"
"Kosman, S."
"Kosover, Professor A."
Koss
"Kossogorav, N."
"Kotlar, Moshe"
"Kotler, Moshe"
"Kotler, Yosef"
"Kotliar, Yosef"
"Kotlowitz, Cantor Max (Mendele)"
Kotlowitz/ Koussevitsky
"Kougouell, Arkadie (1902)"
"Koussevitsky, Cantor Jacob"
"Koussevitzky, Cantor Moyshe"
"Koutev, P., arr"
"Koutev, Philippe, arr"
"Koutev, Phillipe, arr"
"Kouteva, M."
"Kouteve, M."
"Koutsen, Leo"
"Kovac, Mikulas"
"Kovacs, Alexander & Marcel Lorand"
"Kovacs, Cantor Sandor"
"Kovanovsky, D."
"Kovanovsky, D. / Wilensky??"
"Kovanovsky, David"
"Kovarikova, Jitka, soprano"
"Kovarikova, Jitka, sopranoer"
"Kovenski, Ethel"
"Kovenski, Ethel (I. Rubinshek, H)"
"Kovenski, Ethel ??"
"Kovner, Abba"
"Kozlowski, Leopold"
"Kozlowski, Leopold & Ensemble"
"Kozlowski, Rogneda (Eng)"
"Krachevsky, Khinan"
"Kraditor, Rose"
"Krakowski, Esther Bluma Russak"
"Krakowski, Wolf"
Kramer
"Kramer, Aaron"
"Kramer, Mandel"
"Kramer, Theodore"
"Kramtweiss, Itzikl"
"Kranzler, Eli"
"Kranzler, Elli & Dave Davies"
"Kranzler, Elli & Elliot Levine"
"Kranzler, Elli & Levine, Elliot"
"Kranzler, Elli & Mitch Weiss"
"Krasa, Hans (1899-1944)"
"Krashunskaya, Dina"
"Krashunskiy, Anatoliy"
"Krasnodebski, Leornard (19__-1944)"
"Krasnowsky, Frank"
"Krasnowsky, Frank, vocal & eng"
"Krauker, David & Krakauer Trio"
"Kraus, S."
"Kraus, Samuel"
"Kraus, Shmuel"
"Kraus, Shmulik"
"Kraus, Cantor Moshe"
"Krause, Marc"
"Krause, Mark"
"Krause, Mark and Company"
Krauss
Krebs
"Kreder, Jean-Paul"
"Kreditor, Rose"
"Krein, Alexander"
"Kreisler, Marcel"
"Kreitzberg, Yasha"
"Krelage, Antoon, arr"
"Krelage, Antoon, choir cond"
"Krelage, Antoon, choir cond & arr"
"Krelage, Antton, arr"
"Krelege, Anton, arr"
"Kremer, Isa"
"Kressyn, M. & S. Rexsite / Yid"
"Kressyn, Miriam"
"Kressyn, Miriam & Ensemble"
"Kressyn, Miriam & Louis Danto"
"Kressyn, Miriam & Rebecca Richman"
"Kressyn, Miriam and Ensembl"
"Kressyn, Miriam and Mort Freeman"
"Kressyn, Miriam {Album K-10(a)}"
"Kressyn, Miriam/ Rexsite, Seymour"
"Kretsmar, H."
"Kreytsberg, Yasha"
"Kreyzler, Marcel, orchester"
"Kreyzler, Marcel, orchestra"
"Krieger, Adam (1634-1666)"
"Krimm, Marilyn"
"Grimski, Yankl"
"Kristin, Anne & Paul Mai"
"Kristonova E & K Machata, speakers"
"Kritsovsky, Kh."
"Kritsvoski, Kh."
"Kritz, Alan M., arranger"
"Kritz, Karl S."
"Kribushey, Dovid"
Kroke
"Krokheny, Arkadi"
"Krol, Shmuel"
"Krol, Shmuel/ Hedva Amrani"
"Kroll, Bobby"
"Krone, Dr., acc"
Kronos Quartet/
"Krowzow, Sonia, vocal"
"Krugman, Eliyahu Meir"
"Krul, Khaim"
"Krupowies, Maria"
"Krutsini, Arkady (Cruchiny)"
"Krycer, David"
"Krycer, David & Klezmania"
"Krysler, Marcel, orchestra"
"Krysler, Marcel. orchestra"
"Krzysiak, Jan, cond and violin"
"Kucas, Bob, Miriam Schwartz"
"Kudirka, Vincas"
"Kukles, Puya"
"Kuklika, Daniel"
"Kulbach, Lisle"
"Kulbach, Lisle & Derek Burrows"
"Kulbach, Lisle & Judith Wachs"
"Kulbach, Lisle/ Voice Of...Turtle"
"Kulbach, Wachs & Rosenberg"
"Kulbak, Moyshe"
"Kulisiewicz, Aleksander"
"Kunkel, Gerard, guitar"
Kupsan
"Kurella, Alfred"
"Kurland, (Joe) Yosl"
"Kurtz, Aaron"
"Kurylo, E."
"Kurz, Marv"
"Kusevitsky, Cantor Dovid"
"Kusevitzky, Dovid"
"Kusevitzky, Cantor Dovid"
"Kushner, Tony"
"Kusman, Sasha"
"Kussovitsky, J. / A. Scharf"
"Kutler, Khasia"
Kuziany Brother Village Group
"Kvitko, Leyb"
"Kvitko, Leyb (?)"
"Kztznelson, Yitskhak"
L'chaim Klezmer Ensemble
L'chiam Klezmer Ensemble
"La Bianca, Ginetta"
"La Bianca, Ginnetta"
"La Bianco, Gianetta"
"La Bianeca, Ginetta"
La Pena Community Chorus
La'om
"La'om & Franke Lampe, accordion"
La'om & Vacalist
"Labovitz, Sherman"
"Lacalle, J."
"Laderoute, Joseph"
Lahakat Hanakhal
"Lai, Francis"
"Lakatos, Jozef"
"Lamkoff, Paul"
"Lamm, Yisroel, orchestration"
"Lamm, Yoel & Philharmonic Exper"
"Lamm, Yoel & Philharmonic Exper.."
"Lamm, Yoel"
"Lampe, Franka"
"Lampe, Franke"
"Lampel, Max, organist"
"Landau, B., G. Lev, Y. Magid"
"Landau, Bina"
"Landau, Boris"
"Landau, Boris and Genia Lev"
"Landau, Zisha"
"Lander, P."
"Landmann, Salcia (b.1911)"
"Landmann, Salica"
"Landmann, Salica (b.1911)"
"Landowska, Wanda"
"Landvar, Tsvi, dir & arr"
Lane
"Lane, B."
"Lang, Cantor Marcel"
"Langedijk, Tineke & Babel"
"Langee, Jacqueline"
"Langee, Jacqueline & Smolover"
"Langer, Michael Khaim"
"Lara, Agustin"
"Larimer, Robert"
"Laskov, Khaim"
"Laskowsky, Philip"
"Laskovsky, Philip"
"Lasry, Jacques"
"Lasry, Teddy"
"Laster, N."
"Latouche, John"
Latvian Women's Chorus
"Laudan, Stanley"
Stanley Laudan Ensemble
"Laufer, Moshe"
"Laufer, Rabbi Meyer H., arr"
"Laufer, Robin, orchestra"
"Laugs, Richard, piano"
"Lavanne, Antonia, soprano"
"Lavault. Odile, accordion"
"Lavi, Arie"
"Lavi, Shimon and Alisa David"
"Lavie, Aric"
"Lavie, Aric / Rivka Raz"
"Lavie, Aric / Yochai Hazani"
"Lavie, Arik"
"Lavkovski, P."
"Lavoute, Lucien, orch cond"
"Lavry, Marc"
Lawrence
"Lawrence, Esther"
"Lawrence, Helen"
"Lawrence, Jack"
"Lax, Mika Shmerling, Piano"
"Layton, Turner"
"Lazarus, Emma (1849-1887)"
"Le Gaulois, Maurice Klezmer Orch"
Le Trio Russe
