"sponsorID","sponsorName","sponsorInstitutionType","sponsorType"
"SPR1501","Nise Productions NISE","-","Record Label"
"SPR1502","Nitzanim","-","Record Label"
"SPR1503","NIV Records","-","Record Label"
"SPR1504","Niva Records","-","Record Label"
"SPR1505","NL Enterprises","-","Record Label"
"SPR1506","NMC Music Ltd.","-","Record Label"
"SPR1507","No 5 SD23","-","Record Label"
"SPR1508","No. Shore Cong.","-","Record Label"
"SPR1509","Noah","-","Record Label"
"SPR151","Arhoolie Records","-","Record Label"
"SPR1510","Noah Nachbush Records","-","Record Label"
"SPR1511","Noah Recording","-","Record Label"
"SPR1512","Noam Productions","-","Record Label"
"SPR1513","Noam Records","-","Record Label"
"SPR1514","None","-","Publisher"
"SPR1515","Nonesuch Records","-","Record Label"
"SPR1516","Nor-Est Recordings","-","Record Label"
"SPR1517","Norclair Ltd.","-","Record Label"
"SPR1518","North American Federation","-","Record Label"
"SPR1519","North Suburban Synagogue Beth El","-","Record Label"
"SPR152","Ariel International Records","-","Record Label"
"SPR1520","Northeastern","-","Record Label"
"SPR1521","Not Given","-","Publisher"
"SPR1522","Not Listed","-","Record Label"
"SPR1523","Not Noted","-","Publisher"
"SPR1524","Nova Records","-","Record Label"
"SPR1525","Novello & Co","-","Record Label"
"SPR1526","NTE Productions","-","Record Label"
"SPR1527","NYBC","-","Record Label"
"SPR1528","Nyex","-","Record Label"
"SPR1529","O'Shir Music","-","Record Label"
"SPR153","Arielle Records","-","Record Label"
"SPR1530","OA","-","Record Label"
"SPR1531","Oceanic","-","Record Label"
"SPR1532","Oceanphonic","-","Record Label"
"SPR1533","Ocora","-","Record Label"
"SPR1534","Odeon","-","Record Label"
"SPR1535","Odyssey","-","Record Label"
"SPR1536","Office of Education","-","Record Label"
"SPR1537","Okeh","-","Record Label"
"SPR1538","Olive Tree Disc","-","Record Label"
"SPR1539","Oliver Ditson Company","-","Publisher"
"SPR154","Arion Paris","-","Record Label"
"SPR1540","Olympia","-","Record Label"
"SPR1541","Omega Record","-","Record Label"
"SPR1542","Oneg","-","Record Label"
"SPR1543","ONYX Records","-","Record Label"
"SPR1544","Opera Disc","-","Record Label"
"SPR1545","Opera Theatre of Saint Louis","Cultural Organization/Individual (non-Jewish/secular)","Commissioned"
"SPR1546","Opera Theatre of Westchester, White Plains, New York","Cultural Organization/Individual (Jewish)","Commissioned"
"SPR1547","Optimism Inc","-","Record Label"
"SPR1548","Opus Magica","-","Record Label"
"SPR1549","Or - M.H. L. J","-","Record Label"
"SPR155","Arista Records","-","Record Label"
"SPR1550","ORF","-","Record Label"
"SPR1551","Orfeos","-","Record Label"
"SPR1552","Org Records","-","Record Label"
"SPR1553","Original Cast Recordings","-","Record Label"
"SPR1554","Oriole Records","-","Record Label"
"SPR1555","Orion","-","Record Label"
"SPR1556","Orly Productions","-","Record Label"
"SPR1557","Ortav Music Publications","-","Record Label"
"SPR1558","Orthello","-","Record Label"
"SPR1559","OSI Disques","-","Record Label"
"SPR156","Arkad Records","-","Record Label"
"SPR1560","Othello Records","-","Record Label"
"SPR1561","Oyster Albums","-","Record Label"
"SPR1562","P. Newman","-","Record Label"
"SPR1563","P.S. Records","-","Record Label"
"SPR1564","Pacific Symphonetta and Chorus","Ensemble/Artist (musical)","Commissioned"
"SPR1565","Pada","-","Record Label"
"SPR1566","Pageant","-","Record Label"
"SPR1567","Pairaphon","-","Record Label"
"SPR1568","Palestine Art","-","Record Label"
"SPR1569","Palestine Electrical Recording Co.","-","Record Label"
"SPR157","Arko","-","Record Label"
"SPR1570","Palestine in Song","-","Record Label"
"SPR1571","Palette","-","Record Label"
"SPR1572","Palphot","-","Record Label"
"SPR1573","Pan-American","-","Record Label"
"SPR1574","Panache","-","Record Label"
"SPR1575","Pandora Records","-","Record Label"
"SPR1576","Para-Muse","-","Record Label"
"SPR1577","Paramount Records","-","Record Label"
"SPR1578","Park Avenue Synagogue in New York","Synagogue","Commissioned"
"SPR1579","Park Avenue Synagogue-Putterman","Synagogue","Commissioned"
"SPR158","Armed Forces Radio Service","-","Record Label"
"SPR1580","Park Avenue Synagogue, New York City","Synagogue","Commissioned"
"SPR1581","Park Recording","-","Record Label"
"SPR1582","Parlophon","-","Record Label"
"SPR1583","Pathe","-","Record Label"
"SPR1584","Pathe, [Find GP]","-","Record Label"
"SPR1585","Pathe*","-","Record Label"
"SPR1586","Paul Zim Production","-","Record Label"
"SPR1587","Pavane Records","-","Record Label"
"SPR1588","Peace Publishers and CO","-","Record Label"
"SPR1589","Pearl","-","Record Label"
"SPR159","ARS Music","-","Record Label"
"SPR1590","Peerless Audiofile Division","-","Record Label"
"SPR1591","Perach","-","Record Label"
"SPR1592","Perfect","-","Record Label"
"SPR1593","Perfect Impression, Ltd.","-","Record Label"
"SPR1594","Perfection Sound Studio","-","Record Label"
"SPR1595","Period Records","-","Record Label"
"SPR1596","Perlmutter and Wohl","-","Publisher"
"SPR1597","Pesach Seder Records","-","Record Label"
"SPR1598","Peters","-","Record Label"
"SPR1599","Peters International","-","Record Label"
"SPR16","3R Sound Ltd","-","Record Label"
"SPR160","ARS Production","-","Record Label"
"SPR1600","PGM","-","Record Label"
"SPR1601","Philips","-","Record Label"
"SPR1602","Phoenix IX","-","Record Label"
"SPR1603","Phonodisc","-","Record Label"
"SPR1604","Phonodor","-","Record Label"
"SPR1605","Phonokol","-","Record Label"
"SPR1606","Pianola Enterprises","-","Record Label"
"SPR1607","Pickwick/33","-","Record Label"
"SPR1608","Pilotone","-","Record Label"
"SPR1609","Pinchos Jassinowsky","-","Publisher"
"SPR161","Arston","-","Record Label"
"SPR1610","Pincus Belsky","-","Record Label"
"SPR1611","Pioneer Women","-","Publisher"
"SPR1612","Piranha","-","Record Label"
"SPR1613","Piranha Musik Verlag / GEMA","-","Record Label"
"SPR1614","Pirchei","-","Record Label"
"SPR1615","Pirchei Production","-","Record Label"
"SPR1616","Pirchei Records","-","Record Label"
"SPR1617","Plane","-","Record Label"
"SPR1618","Platon Brunoff","-","Publisher"
"SPR1619","Playwell Records","-","Record Label"
"SPR162","Art CD","-","Record Label"
"SPR1620","Plaza Sound Studios","-","Record Label"
"SPR1621","ple Youth","-","Record Label"
"SPR1622","Pleasure Records","-","Record Label"
"SPR1623","PolJazz","-","Record Label"
"SPR1624","Poly Gram Records","-","Record Label"
"SPR1625","Polydor","-","Record Label"
"SPR1626","Polyphon","-","Record Label"
"SPR1627","Polyton","-","Record Label"
"SPR1628","Polytor","-","Record Label"
"SPR1629","Pom Records Inc.","-","Record Label"
"SPR163","Artia Recording","-","Record Label"
"SPR1630","Popular Arts","-","Record Label"
"SPR1631","Portrait","-","Record Label"
"SPR1632","Poydor","-","Record Label"
"SPR1633","Preiser Records","-","Record Label"
"SPR1634","Premier","-","Record Label"
"SPR1635","Pres/Den Prod","-","Record Label"
"SPR1636","Presence Studius","-","Record Label"
"SPR1637","Prestige International","-","Record Label"
"SPR1638","Prince Enterprises Studio","-","Record Label"
"SPR1639","Private label","-","Record Label"
"SPR164","Artist's Recordings","-","Record Label"
"SPR1640","Private patron (New Haven, CT)","Individual","Commissioned"
"SPR1641","Privately Issued","-","Record Label"
"SPR1642","Proarte","-","Record Label"
"SPR1643","Produccciones Eva","-","Record Label"
"SPR1644","Production M.A.500","-","Record Label"
"SPR1645","Professional Artist Recording","-","Record Label"
"SPR1646","Promendade","-","Record Label"
"SPR1647","Prorate Digital","-","Record Label"
"SPR1648","Psumim","-","Record Label"
"SPR1649","Publisher not listed","-","Publisher"
"SPR165","Artistic Enterprises","-","Record Label"
"SPR1650","Putumayo World Music","-","Record Label"
"SPR1651","Pye Records","-","Record Label"
"SPR1652","Pyramid Sound Studios","-","Record Label"
"SPR1653","QCA","-","Record Label"
"SPR1654","Quadrillion Publishing Ltd.","-","Record Label"
"SPR1655","Qualiton","-","Record Label"
"SPR1656","Quality Records","-","Record Label"
"SPR1657","Quiniessence","-","Record Label"
"SPR1658","R A Records RALP 6066","-","Record Label"
"SPR1659","R.I.E.M.","-","Record Label"
"SPR166","Artists Guild Records","-","Record Label"
"SPR1660","R.T.A.LTD","-","Record Label"
"SPR1661","R'ee-Koli","-","Record Label"
"SPR1662","R3 Productions","-","Record Label"
"SPR1663","RA Records","-","Record Label"
"SPR1664","RA-RI-RE Musical Production","-","Record Label"
"SPR1665","Rabbi Charles Akiva Annes, Temple Sharey Tefilo-Israel, then in East Orange, New Jersey","Synagogue","Commissioned"
"SPR1666","Rachel Recordings","-","Record Label"
"SPR1667","Radax","-","Record Label"
"SPR1668","Radio","-","Record Label"
"SPR1669","Radio Canada International","-","Record Label"
"SPR167","Arton (Hed-Arzi)","-","Record Label"
"SPR1670","Radio France","-","Record Label"
"SPR1671","Radio Novelty","-","Record Label"
"SPR1672","RadioDisc","-","Record Label"
"SPR1673","Radiola","-","Record Label"
"SPR1674","Rainbow","-","Record Label"
"SPR1675","Rakefet II","-","Record Label"
"SPR1676","Ram-Bam","-","Record Label"
"SPR1677","Ramon Tasat","-","Record Label"
"SPR1678","Ranana","-","Record Label"
"SPR1679","Random House","-","Record Label"
"SPR168","Artone Records","-","Record Label"
"SPR1680","Rannon Records","-","Record Label"
"SPR1681","Rapsodia","-","Record Label"
"SPR1682","Rarities Collection","-","Record Label"
"SPR1683","RCA","-","Record Label"
"SPR1684","RCA Custom","-","Record Label"
"SPR1685","RCA Hebraica Records","-","Record Label"
"SPR1686","RCA Limited","-","Record Label"
"SPR1687","RCA Records","-","Record Label"
"SPR1688","RCA Red Seal","-","Record Label"
"SPR1689","RCA Victor","-","Record Label"
"SPR169","Artzyan Records","-","Record Label"
"SPR1690","RCA Victor Gold Seal","-","Record Label"
"SPR1691","RCA Victor International","-","Record Label"
"SPR1692","RCA Victor Red Seal","-","Record Label"
"SPR1693","RCA Victrola","-","Record Label"
"SPR1694","Rebbe Soul Music","-","Record Label"
"SPR1695","Reboot Stereophonic","-","Record Label"
"SPR1696","Rec O Hit","-","Record Label"
"SPR1697","Record Label","-","Record Label"
"SPR1698","Recorded Publications Company","-","Record Label"
"SPR1699","recorded work","-","Record Label"
"SPR17","7 Productions","-","Record Label"
"SPR170","Arzi Records","-","Record Label"
"SPR1700","Ree Koli Records","-","Record Label"
"SPR1701","Reed Records","-","Record Label"
"SPR1702","Reena","-","Record Label"
"SPR1703","Reeprise","-","Record Label"
"SPR1704","Reeves Sound Studio","-","Record Label"
"SPR1705","Refuge Records","-","Record Label"
"SPR1706","Regal","-","Record Label"
"SPR1707","Regent","-","Record Label"
"SPR1708","Regesh Production","-","Record Label"
"SPR1709","REM Hollwood","-","Record Label"
"SPR171","Arziphone","-","Record Label"
"SPR1710","Remembrance Records","-","Record Label"
"SPR1711","Renanah","-","Publisher"
"SPR1712","Renanah Music","-","Publisher"
"SPR1713","Renanah Music Co.","-","Publisher"
"SPR1714","Renna","-","Record Label"
"SPR1715","Reprise Records","-","Record Label"
"SPR1716","Reprise Warner Bros. Records Inc.","-","Record Label"
"SPR1717","Request Records","-","Record Label"
"SPR1718","Res Historia","-","Record Label"
"SPR1719","Research Craft Corp.","-","Record Label"
"SPR172","Asch","-","Record Label"
"SPR1720","Reuveni Bros.","-","Record Label"
"SPR1721","Rex","-","Record Label"
"SPR1722","Rex Heritage","-","Record Label"
"SPR1723","Rex Records","-","Record Label"
"SPR1724","RGB Records","-","Record Label"
"SPR1725","RGE","-","Record Label"
"SPR1726","Rhino Records' Discography","-","Record Label"
"SPR1727","Rhythm Media Records","-","Record Label"
"SPR1728","Ri-Fi Record","-","Record Label"
"SPR1729","RICA Records","-","Record Label"
"SPR173","Asch Recording Studio","-","Record Label"
"SPR1730","Richard Gendelman","-","Publisher"
"SPR1731","Richmond Robbins Publishers","-","Publisher"
"SPR1732","Ricordi","-","Record Label"
"SPR1733","Rinatone","-","Record Label"
"SPR1734","Riot Records","-","Record Label"
"SPR1735","Riverdale Temple","-","Record Label"
"SPR1736","Riverside Records","-","Record Label"
"SPR1737","Rivka Records","-","Record Label"
"SPR1738","Rivoli Records","-","Record Label"
"SPR1739","RKA","-","Record Label"
"SPR174","Asch Recordings","-","Record Label"
"SPR1740","RKO Records","-","Record Label"
"SPR1741","Robbins Music Corporation","-","Publisher"
"SPR1742","Robin's Records","-","Record Label"
"SPR1743","Rockford Recording Co.","-","Record Label"
"SPR1744","Rocking Horse Recordings","-","Record Label"
"SPR1745","Rocper Recordings","-","Record Label"
"SPR1746","ROH","-","Record Label"
"SPR1747","ROM Productions","-","Record Label"
"SPR1748","Romimu","-","Record Label"
"SPR1749","Ron Co.","-","Record Label"
"SPR175","Asco Records","-","Record Label"
"SPR1750","Ron Li","-","Record Label"
"SPR1751","Ron-Ly","-","Record Label"
"SPR1752","Ron-Phon","-","Record Label"
"SPR1753","Rone Records","-","Record Label"
"SPR1754","ROS 1","-","Record Label"
"SPR1755","Rothschild Foundation, Haifa Symphony Orchestra","Consortium","Commissioned"
"SPR1756","Rotona Records","-","Record Label"
"SPR1757","Roulette Records","-","Record Label"
"SPR1758","Rounder Records","-","Record Label"
"SPR1759","Royal Kingdom Productions","-","Record Label"
"SPR176","Ashbourne Music Publication","-","Record Label"
"SPR1760","Royal Recording Service","-","Record Label"
"SPR1761","Royale","-","Record Label"
"SPR1762","Rozanna","-","Record Label"
"SPR1763","Rozanna Records","-","Record Label"
"SPR1764","RPC","-","Record Label"
"SPR1765","RSA","-","Record Label"
"SPR1766","RSO","-","Record Label"
"SPR1767","RTA Ltd","-","Record Label"
"SPR1768","RTN Records","-","Record Label"
"SPR1769","Rtovah Corp","-","Record Label"
"SPR177","Asherwood, Hopwood, & Crew, Ltd","-","Publisher"
"SPR1770","Ruach","-","Record Label"
"SPR1771","Ruach Orchestra","-","Record Label"
"SPR1772","Ruach Revival West","-","Record Label"
"SPR1773","Rubin Doctor","-","Publisher"
"SPR1774","RYKO","-","Record Label"
"SPR1775","Rykodisc","-","Record Label"
"SPR1776","S Schenker","-","Publisher"
"SPR1777","S Shenker","-","Publisher"
"SPR1778","S. G oldberg & Co.","-","Publisher"
"SPR1779","S. Goldberg","-","Publisher"
"SPR178","ASIJA","-","Record Label"
"SPR1780","S. Goldberg Publisher","-","Publisher"
"SPR1781","S. Goldberg Publishing","-","Publisher"
"SPR1782","S. S henker","-","Publisher"
"SPR1783","S. Schenker","-","Publisher"
"SPR1784","S. Shenker","-","Publisher"
"SPR1785","S.L.R.","-","Record Label"
"SPR1786","S.M.T. Productions Inc.","-","Record Label"
"SPR1787","S.U.G","-","Record Label"
"SPR1788","Sabam","-","Record Label"
"SPR1789","Sabella Recording Studios","-","Record Label"
"SPR179","ASP Records","-","Record Label"
"SPR1790","Sabra Records","-","Record Label"
"SPR1791","Sacem","-","Record Label"
"SPR1792","Safam","-","Record Label"
"SPR1793","Saga","-","Record Label"
"SPR1794","Sahachie","-","Record Label"
"SPR1795","Saini, Jerusalem","-","Publisher"
"SPR1796","Salada","-","Record Label"
"SPR1797","Sameach Music","-","Record Label"
"SPR1798","Sami Awwad","-","Record Label"
"SPR1799","Sampler Records","-","Record Label"
"SPR18","770 Productions","-","Record Label"
"SPR180","Asterisk Records","-","Record Label"
"SPR1800","Samuel Secunda","-","Publisher"
"SPR1801","Samyphone","-","Record Label"
"SPR1802","San Francisco Symphony","Ensemble/Artist (musical)","Commissioned"
"SPR1803","Sani Shapiro","-","Publisher"
"SPR1804","Saphir","-","Record Label"
"SPR1805","Satellite Broadcasting Co.","-","Record Label"
"SPR1806","Saul Schenker","-","Publisher"
"SPR1807","Savoy","-","Record Label"
"SPR1808","Saydisc Records","-","Record Label"
"SPR1809","SB 117","-","Record Label"
"SPR181","Astro Electronics Corp.","-","Record Label"
"SPR1810","Scala","-","Record Label"
"SPR1811","Scala Recordings","-","Record Label"
"SPR1812","Scalen Disc","-","Record Label"
"SPR1813","SCB Record","-","Record Label"
"SPR1814","SCB Records","-","Record Label"
"SPR1815","Scepter Records","-","Record Label"
"SPR1816","SchaffnerPublishing Co","-","Publisher"
"SPR1817","Schneider ","-","Record Label"
"SPR1818","Schuster Verlag","-","Record Label"
"SPR1819","Schwann","-","Record Label"
"SPR182","Asya Vaisman Schulman","-","Publisher"
"SPR1820","Scorpio Band","-","Record Label"
"SPR1821","Scott","-","Record Label"
"SPR1822","Seattle Symphony","Ensemble/Artist (musical)","Commissioned"
"SPR1823","Seeco","-","Record Label"
"SPR1824","SEECO Celebrities","-","Record Label"
"SPR1825","Seeway Production","-","Record Label"
"SPR1826","Sefarad Records","-","Record Label"
"SPR1827","Select","-","Record Label"
"SPR1828","Septima Recording LTD","-","Record Label"
"SPR1829","Seraphim","-","Record Label"
"SPR183","ATCO Records","-","Record Label"
"SPR1830","Serenade","-","Record Label"
"SPR1831","Serenus","-","Record Label"
"SPR1832","Seva","-","Record Label"
"SPR1833","Seventy One Stydio","-","Record Label"
"SPR1834","Shaare Emeth Temple","-","Record Label"
"SPR1835","Shai","-","Record Label"
"SPR1836","Shalom 84","-","Record Label"
"SPR1837","Shalom Concert Bureau","-","Record Label"
"SPR1838","Shalom Production","-","Record Label"
"SPR1839","Shalom Records","-","Record Label"
"SPR184","ATE","-","Record Label"
"SPR1840","Shanachie Records","-","Record Label"
"SPR1841","Sharon Publishing Co","-","Publisher"
"SPR1842","Sharvit Records","-","Record Label"
"SPR1843","Shattinger-Internat Music Corp.","-","Publisher"
"SPR1844","Shawn Records","-","Record Label"
"SPR1845","Shearith Israel League","-","Record Label"
"SPR1846","Sheera","-","Record Label"
"SPR1847","SheeRa productions","-","Record Label"
"SPR1848","Sheera Recordings","-","Record Label"
"SPR1849","Shefa Records","-","Record Label"
"SPR185","Atlanta Symphony/Robert Shaw","Ensemble/Artist (musical)","Commissioned"
"SPR1850","Sheindl Records","-","Record Label"
"SPR1851","Shekinah","-","Record Label"
"SPR1852","Shelly Lang Productions","-","Record Label"
"SPR1853","Sheya Mendelowitz Production","-","Record Label"
"SPR1854","Sheya Mendlowitz Productions","-","Record Label"
"SPR1855","Shilo","-","Record Label"
"SPR1856","Shir Productions","-","Record Label"
"SPR1857","Shir Records","-","Record Label"
"SPR1858","Shira","-","Record Label"
"SPR1859","Shira Records","-","Record Label"
"SPR186","Atlantic Recordings","-","Record Label"
"SPR1860","Shira Utfilah","-","Record Label"
"SPR1861","Shirei David","-","Record Label"
"SPR1862","Shirim","-","Record Label"
"SPR1863","Shiru Li Records","-","Record Label"
"SPR1864","Shlock Rock","-","Record Label"
"SPR1865","Shlomo Rabinowitz Productions","-","Record Label"
"SPR1866","Shmuel Mashiach","-","Record Label"
"SPR1867","Shofar","-","Record Label"
"SPR1868","Shoreline","-","Record Label"
"SPR1869","Shoulsong","-","Record Label"
"SPR187","Atlas","-","Record Label"
"SPR1870","Shubert Music Publishing Corp","-","Publisher"
"SPR1871","Sid pastner Production","-","Record Label"
"SPR1872","Sifstar","-","Record Label"
"SPR1873","Sight & Sound","-","Record Label"
"SPR1874","Sight See Sound","-","Record Label"
"SPR1875","Sigma Disc","-","Record Label"
"SPR1876","Signature","-","Record Label"
"SPR1877","Signos de Mexico","-","Record Label"
"SPR1878","Silver Chord","-","Record Label"
"SPR1879","Silver Crest","-","Record Label"
"SPR188","Atoll Music","-","Record Label"
"SPR1880","Silver Lining Records","-","Record Label"
"SPR1881","Silvertone","-","Record Label"
"SPR1882","Simcha Procutions","-","Record Label"
"SPR1883","Simcha Sason","-","Record Label"
"SPR1884","Sinai","-","Record Label"
"SPR1885","Sing Unto God","-","Record Label"
"SPR1886","Sire Records","-","Record Label"
"SPR1887","Sirena Grand Records, USSR","-","Record Label"
"SPR1888","Skylark","-","Record Label"
"SPR1889","Skylark Productions","-","Record Label"
"SPR189","Attey Records","-","Record Label"
"SPR1890","Skyton","-","Record Label"
"SPR1891","Slava Productions","-","Record Label"
"SPR1892","SMC Pro-Arte","-","Record Label"
"SPR1893","SMD Project Productions","-","Record Label"
"SPR1894","Smithsonian Institution","-","Record Label"
"SPR1895","Smithsonian/Folkways","-","Record Label"
"SPR1896","Snachas","-","Record Label"
"SPR1897","SO80 Studio","-","Record Label"
"SPR1898","Socko Productions","-","Record Label"
"SPR1899","Sol Bloom","-","Publisher"
"SPR19","92nd Street YMHA of New York","Cultural Organization/Individual (Jewish)","Commissioned"
"SPR190","Attic Records","-","Record Label"
"SPR1900","Solan","-","Record Label"
"SPR1901","Solo Art","-","Record Label"
"SPR1902","Solomon Schechter","-","Record Label"
"SPR1903","Somerset","-","Record Label"
"SPR1904","Songcraft","-","Record Label"
"SPR1905","Soni Music","-","Record Label"
"SPR1906","Sonodor","-","Record Label"
"SPR1907","Sony Music Entertainment","-","Record Label"
"SPR1908","Sound 80 Studios","-","Record Label"
"SPR1909","Sound Decuisions","-","Record Label"
"SPR191","Audio Engineering Asso","-","Record Label"
"SPR1910","Sound Design","-","Record Label"
"SPR1911","Sound Ideas","-","Record Label"
"SPR1912","Sound Path Records","-","Record Label"
"SPR1913","Sound Triangle","-","Record Label"
"SPR1914","Sound Write Productions","-","Record Label"
"SPR1915","Sound80","-","Record Label"
"SPR1916","Soundbook","-","Record Label"
"SPR1917","Sounds Write Productions, Inc.","-","Record Label"
"SPR1918","Soundworks Studio","-","Record Label"
"SPR1919","Souther Music Publishing Co., Inc","-","Publisher"
"SPR192","Audio Fidelity","-","Record Label"
"SPR1920","Southern Music Company","-","Publisher"
"SPR1921","Southernaire Records","-","Record Label"
"SPR1922","SpA Records","-","Record Label"
"SPR1923","Sparton","-","Record Label"
"SPR1924","Spectrum","-","Record Label"
"SPR1925","Spertus","-","Record Label"
"SPR1926","Spigot","-","Record Label"
"SPR1927","Spin-O-Rama","-","Record Label"
"SPR1928","Spinto Records","-","Record Label"
"SPR1929","Spire Records","-","Record Label"
"SPR193","Audio Guild","-","Record Label"
"SPR1930","Spiro","-","Record Label"
"SPR1931","Spoken Artists, Inc","-","Record Label"
"SPR1932","Spoken Arts Jewish heritae Series","-","Record Label"
"SPR1933","Spring Song Records","-","Record Label"
"SPR1934","Springer Productions, Inc.","-","Record Label"
"SPR1935","Springsong Records","-","Record Label"
"SPR1936","St.Francis","-","Record Label"
"SPR1937","Staff","-","Record Label"
"SPR1938","Stage & Screen Productions","-","Record Label"
"SPR1939","Standard","-","Record Label"
"SPR194","Audio Heritage","-","Record Label"
"SPR1940","Standard ","-","Record Label"
"SPR1941","Star of David","-","Record Label"
"SPR1942","Star Records","-","Record Label"
"SPR1943","StarFish Music","-","Record Label"
"SPR1944","Startime Sound of Beauty","-","Record Label"
"SPR1945","STC Album Productions","-","Record Label"
"SPR1946","Stephen S.Wise Temple","-","Record Label"
"SPR1947","Stereo Records","-","Record Label"
"SPR1948","StereOddities","-","Record Label"
"SPR1949","Sterling","-","Record Label"
"SPR195","Audio International","-","Record Label"
"SPR1950","STFSO","-","Record Label"
"SPR1951","Still Voice Multimedia","-","Record Label"
"SPR1952","Stinson","-","Record Label"
"SPR1953","Stony Point Ensemble","Ensemble/Artist (musical)","Commissioned"
"SPR1954","Story Time","-","Record Label"
"SPR1955","Straight Ahead Records","-","Record Label"
"SPR1956","Strand","-","Record Label"
"SPR1957","Stringwood EnsembleEnsemble","","Commissioned"
"SPR1958","Strong","-","Record Label"
"SPR1959","Struttin' Spud","-","Record Label"
"SPR196","Audio Masterpiece","-","Record Label"
"SPR1960","Student Struggle For Soviet Jewry","-","Record Label"
"SPR1961","Studio","-","Record Label"
"SPR1962","Studio 'V'","-","Record Label"
"SPR1963","Studio & Artists","-","Record Label"
"SPR1964","Studio 3","-","Record Label"
"SPR1965","Studio Acoustic","-","Record Label"
"SPR1966","Studio Recordings","-","Record Label"
"SPR1967","Su-D-Lu Records","-","Record Label"
"SPR1968","Suffolk Marketing, Inc.","-","Record Label"
"SPR1969","Suki & Ding Productions","-","Record Label"
"SPR197","Audio Masterworks","-","Record Label"
"SPR1970","Sultan","-","Record Label"
"SPR1971","Sultan LTD","-","Record Label"
"SPR1972","Sun","-","Record Label"
"SPR1973","Sunbeam","-","Record Label"
"SPR1974","Sunny","-","Record Label"
"SPR1975","Sunrise Studios","-","Record Label"
"SPR1976","Supraphon","-","Record Label"
"SPR1977","Susan Kates","-","Record Label"
"SPR1978","Sussita","-","Record Label"
"SPR1979","Sutra","-","Record Label"
"SPR198","Audio Rarities","-","Record Label"
"SPR1980","Sweet Corp.","-","Record Label"
"SPR1981","Sweet Louise Music","-","Record Label"
"SPR1982","Sweet Louise Productions","-","Record Label"
"SPR1983","Sweetwood production","-","Record Label"
"SPR1984","Sydelle Pearl","-","Record Label"
"SPR1985","Symphonia","-","Record Label"
"SPR1986","Syncoop","-","Record Label"
"SPR1987","Syncoop Records","-","Record Label"
"SPR1988","Syrena-Electro","-","Record Label"
"SPR1989","SZG Productions","-","Record Label"
"SPR199","Audio Recordings","-","Record Label"
"SPR1990","szMar agd","-","Record Label"
"SPR1991","T'Kume","-","Record Label"
"SPR1992","TACI","-","Record Label"
"SPR1993","Tama","-","Record Label"
"SPR1994","Tamar","-","Record Label"
"SPR1995","Tambur Records","-","Record Label"
"SPR1996","Tanchum Portnoy","-","Record Label"
"SPR1997","Tanglewood Record Library","-","Record Label"
"SPR1998","TAP Records","-","Record Label"
"SPR1999","Tara","-","Record Label"
"SPR2","","","Commissioned"
"SPR20","A & B international Art Production","-","Record Label"
"SPR200","Audio Research","-","Record Label"
"SPR2000","Tara Jewish Music","-","Record Label"
"SPR2001","Tara Music","-","Record Label"
"SPR2002","TARA Publications","-","Record Label"
"SPR2003","TCM Branick","-","Record Label"
"SPR2004","Technikol","-","Record Label"
"SPR2005","Teddy Lasry Trio","-","Record Label"
"SPR2006","Tel Aviv -Industria Argentina","-","Record Label"
"SPR2007","Tel-e-vue Productions","-","Record Label"
"SPR2008","Teldec","-","Record Label"
"SPR2009","Teledisc","-","Record Label"
"SPR201","Audio Sonic","-","Record Label"
"SPR2010","Telefunken","-","Record Label"
"SPR2011","Telefunken-Decca","-","Record Label"
"SPR2012","Teloma Records","-","Record Label"
"SPR2013","Tempi","-","Record Label"
"SPR2014","Temple","-","Record Label"
"SPR2015","Temple adath YeshurunN","-","Record Label"
"SPR2016","Temple Album","-","Record Label"
"SPR2017","Temple B'nai Jeshurun","-","Record Label"
"SPR2018","Temple Beth El","-","Record Label"
"SPR2019","Temple Beth Israel","-","Record Label"
"SPR202","AUDIO Spectrum Sound","-","Record Label"
"SPR2020","Temple Beth Israel (Portland)","Synagogue","Commissioned"
"SPR2021","Temple Beth Shalom","-","Record Label"
"SPR2022","Temple Emanu-El","-","Record Label"
"SPR2023","Temple Emanu-El (Dallas), Dallas Symphony Orchestra, Dallas Chamber Music Society","Consortium","Commissioned"
"SPR2024","Temple Emanu-El (New York)-Saminsky","Synagogue","Commissioned"
"SPR2025","Temple Emanu-El (San Francisco)-Rinder","Synagogue","Commissioned"
"SPR2026","Temple Emanuel","-","Record Label"
"SPR2027","Temple Emanuel of Newton","-","Record Label"
"SPR2028","Temple Israel","-","Record Label"
"SPR2029","Temple Israel, Lawrence, New York","Synagogue","Commissioned"
"SPR203","Audio Treasure","-","Record Label"
"SPR2030","Temple Record Co.","-","Record Label"
"SPR2031","Temple Shaare Emeth","-","Record Label"
"SPR2032","Tempo","-","Record Label"
"SPR2033","Tenne","-","Record Label"
"SPR2034","Teresa Gramohpone","-","Record Label"
"SPR2035","Terrence McEwen-San Francisco Opera,  Christopher Keene and the New York City Opera","Cultural Organization/Individual (non-Jewish/secular)","Commissioned"
"SPR2036","Terry Productions,Inc","-","Record Label"
"SPR2037","Testimonium","Cultural Organization/Individual (Jewish)","Commissioned"
"SPR2038","TEVYE Records","-","Record Label"
"SPR2039","Tfelois Chaim","-","Record Label"
"SPR204","Audition Record","-","Record Label"
"SPR2040","TG","-","Record Label"
