"title","titleID","genre","hebrewTitle","subject","org","transliteration","music","notes","translations"
"Rakhmanu Perok (Heb)","T4641","","רחמנא פּרוק (עבֿרית)","","","","","",""
"Rakhmuno (Nign)","T4642","","רחמינו (ניגון)","","","","","",""
"Rakhok Rakhok Mekhon (Heb)","T4643","","רחוק רחוק מכאן (עבֿרית)","","","","","",""
"Ramat Gan","T4644","","רמת נן","","","","","",""
"Ramaya (Eng)","T7862","","","","","","","",""
"Ramo Ramo (Balkan)","T4645","","","","","","","",""
"Ramona (Yid)","T4646","","","","","","","",""
"Rampe Rampe (Turkish)","T4647","","","","","","","",""
"Rash Un Tumel Fun A Geto Gas (Heb)","T4650","","רעש אןם טומעל פֿון אַ געטאָ גאָס (עבֿר)","","","","","",""
"Rastavanie (Russian, Parting)","T10251","","","","","","","",""
"Rav Amram (Ladino)","T4651","","","","","","","",""
"Rav Brakhot (Instr)","T12166","","","","","","","",""
"Rav Khovel Italki (Sketch)","T4652","","רב חובל איטלקי","","","","","",""
"Ravervin (Heb)","T8651","","רברבין (עבֿרית)","","","","","",""
"Rayes Restorant (Yid)","T12263","","רײַעס רעסטאָראַנט (ייִדיש)","","","","","",""
"Raz Dva Tri (Russian, Yid)","T9769","","","","","","","",""
"Reading Of The Torah (Heb)","T4653","","פּסוקים מכתבי הקודש","","","","","",""
"Reb Ashers Nign","T4654","","רבּ אשרס ניגון","","","","","",""
"Reb Dovidl","T4655","Khasidic","רבּ דודל","Rebe/Place/Tolne/Vasilkovne/Khasidim/Torah","Alb J-034(a)","Alb J-034(a)","","Same Melody as ""Lomir Heysn Freylekh Zayn/ Yoshke Yoshke"" Text credited to L. Fuchs on liner notes of Alb J-034(a) and to I. Fuchs on liner notes of B-068(a).","Alb P-002(b)/Alb J-034(a)"
"A Froy Kumt Tsum Rov (Joke)","T14124","","אַ פֿרױ קומט צום רבֿ (װיץ)","","","","","",""
"Arestantn","T21415","","אַרעסטאַנטן","","","","","",""
"Reb Dovidl (Medley)","T4672","","רבּ דודל (מעדלי)","","","","","",""
"Reb Dovidls Nign","T18509","","רבּ דודלס ניגון","","","","","",""
"Reb Dudi","T4673","","רעבּ דודי","","","","","",""
"Reb Itsiks Nign (Instr)","T10752","","רעב איציקס ניגון (אינסטר)","","","","","",""
"Reb Khiams Tants (Instr)","T8310","","רעב חיימס טאַנצ","","","","","",""
"Reb Lippe's Nign/Freylekh","T13904","","","","","","","",""
"Reb Mendl","T4577","","ר' מענדל","","","","","",""
"Ari (Exodus, Instr)","T9166","","","","","","","",""
"Reb Meyzl Mizl","T7130","Literary Origin/Fable","רבּ מײזל מיזל","Mouse/Mice/Giant","Shtaybarg Mesholim 132","","","",""
"A Zemer","T4578","Literary Origin","אַ זמר","God/Faith/Struggle/Khasid/","Kon 65/ML PYS 142/Alb B-007(a)/Bugatch 146/Sheet Music 305","Alb O-009(a)/Alb L-001(a)/Alb I-013(a)/Bugatch 146/Alb L-038(a)/Sheet Music 30","Bugatch 146/ML PYS 142/Kon 65/Sheet Music 305","See Ephemera 80 for singable English adapation by Edith Finell.","Alb L-038(a)/ML PYS  142/Alb O-009(a)/Alb O-006(c)/Alb D-002(a)"
"Reb Nachman's Deveykus Nign","T11773","","","","","","","",""
"Reb Nakhmans Kholem","T8154","","ר' נחמנס חלום","","","","","",""
"Reb Sadia Mit Dem Radie","T4581","","רעב סעדיא מיט דעם ראַדיע","","","","","",""
"Reb Shmuels Nign (Khanike Oy..)","T12078","","רבּ שמואלס ניגון (חנוכּה אױ חנוכּה)","","","","","",""
"Aria ""Rachel""","T12507","","אַרײע ""רחל""","","","","","See ""Rachel Quand Du Seigneur""",""
"Reb Yid","T9798","","רעב ייִד","","","","","",""
"Reb Zushes Tants","T4582","","רעבּ זושעס טאַנץ","","","","","",""
"Rebe Mikheles Nign","T4583","","רבּע מיכעלעס ניגון","","","","","",""
"Rebe's Meal (Instr)","T9910","","","","","","","",""
"Rivke","T10888","Love/Lament","רבֿקה","Memory/Dreams/Pain/Status","","","","","Alb Z-014(g)"
"Rebenyu","T4584","","רבּיניו","","","","","See ""Lekoved Dem Heylign Shabos""",""
"Rebns Khasene (Instr)","T4585","","רבּנס חתונה","","","","","",""
"Rebns Nign (Instr)","T4586","","רבּנס ניגון","","","","","",""
"Rebns Nign (Sterner Choir)","T4587","","רבּנס ניגון (שטערנער כאָר)","","","","","",""
"Rebns Tants","T11512","","רבּנס טאַנץ","","","","","",""
"Aria From Halka","T21416","","","","","","","",""
"Reboynu (Heb)","T4588","","רבּוֹנוֹ (עבֿרית)","","","","","",""
"Reboynu Shel Olam","T4590","ReligiousLiturgical/Prayer","רבּוֹנוֹ של עלוֹם","Omer/Counting/Purification","","","","","Vorbei 270"
"Reboynu Shel Olam (Peled)","T4594","","רבּונו של עולם (פּלד)","","","","","",""
"Reboynu Shel Olam (Rosenblatt)","T4595","ReligiousLiturgical/Prayer","רבּוֹנוֹ של עלוֹם (ראָזענבלאַט)","Omer/Counting/Purification","","","","",""
"Reboynu Shel Olam (Khabad Nign)","T4596","Khasidic/Nigun","רבּוֹנוֹ של עלוֹם (חבּ'ד)","","","","","",""
"Reboynu Shel Olam Lomir Makhn A Bayt","T4597","Khasidic/Folk/Religious/Prayer","רבּוֹנוֹ של עלוֹם לאָמיר מאַכן אַ בײַט","Sin/Absolution","Alb W-008(a)","","","",""
"Recessional (Khasidic Wedding)","T4598","","","","","","","",""
"Recicitive Rebele and Lover (YId)","T4599","","","","","","","",""
"Recitativ Aus Shulamith (Di Shvue)","T10521","","די שבֿועה (שולמית)","","","","","",""
"Arias And Barcarolles","T8222","","","","","","","",""
"Recitative And Dance","T4600","Instrumental/Classical","","","","","","",""
"Reconciliation (Theme, Instr)","T8686","","","","","","","",""
"Recuerdos De Safed (Instr)","T4601","","","","","","","",""
"Recuerdos Di Mi Minez -Ocean Sands","T4602","","","","","","","",""
"Red Horizon (Heb)","T4603","","אופק אדמוני (עבֿרית)","","","","","",""
"Red Hot Mama (Eng)","T4604","","","","","","","",""
"Red Sarafan (Instr)","T4605","","","","","","","",""
"Red Sarafan (Russian)","T9278","","","","","","","",""
"Red Scarf (Instr)","T8359","","","","","","","",""
"Rede Fun ""Eltestn Der Yidn (Heb)","T4606","","רעדע פֿון ""עלטעסטן דער ייִדן"" (עבֿרית)","","","","","",""
"Arias And Barcarolles Prelude","T8223","","","","","","","",""
"Redt Yidish","T11762","","רעדט ייִדיש","","","","","",""
"Refrain Audacious Tar (Yid)","T10538","","העראָף דו שטאָלצער יונג,","","","","","",""
"A Refue Shleymo","T4607","Theater/Lament","אַ רפֿואה שלמה","Nation/Illness/Cure/Prayer/Persecution/Exile/Return","","","","From the operetta ""Surnrise""",""
"Regn Regn Regendl","T4608","Humorous/Instructional","רעגן רעגן רעגנדל","Simplicity/Piety/Parents/Rain/Advice/Rabbi/Shadkhn","Shteyn 83 (?)/Vinkov 2 27/Alb K-075(a)/Sm Moskow 34","/Vinkov 2 27/Alb K-075(a)Sm Moskow 34/Ephemera 902","Shteyn 83 (?)/Vinkov 2 27/Sm Moskow 34","Rain, Rain, Little Rain","Vinkov 2 27/Alb K-075(a)/Ephemera 902"
"Regn Regn","T4609","","רעגן רעגן","","","","","",""
"Reiakh Tapuakh Ve'odem Shani (Heb)","T4610","","","","","","","",""
"Reissa, Eleanor, Opening Medley","T4611","","","","","","","",""
"Rejoice And Sing,A Khasidic Medley","T4612","","","","","","","",""
"Reka Za Bvenia (Russian)","T8063","","","","","","","",""
"Ariba (Part 1, Yid, Eng)","T10931","","אַריבאַ (טײל 1, ייִדיש, ענגליש)","","","","","",""
"Rekhev Esh (Chariots Of Fire, Ins)","T4613","","רכב אש (עבֿרית, אינסטר)","","","","","",""
"Rekhev Esh (Heb, Chariots Of Fire)","T8038","","רכב אש (עבֿרית)","","","","","",""
"Rekhiles (Yid, Gossip)","T4614","","רכילות (ייִדיש)","","","","","",""
"Remarks To Anwar Sadat (Eng)","T4615","","","","","","","",""
"Remember (Eng, Heb, Medley)","T10556","","","","","","","",""
"Remember Mother's Day (Eng)","T4773","","","","","","","",""
"Remember The Yiddish Theatre-Instr","T4774","","","","","","","",""
"Remembrance - Hersh Remembers","T8670","","","","","","","",""
"Remembrance - Hersh's Nightmare","T8672","","","","","","","",""
"Remembrance - Khaim Reflects","T8665","","","","","","","",""
"Ariba (Part 2, Yid, Eng)","T10932","","אַריבאַ (טײל 2, ייִדיש, ענגליש)","","","","","",""
"Remembrance - Khaim Remembers","T8663","","","","","","","",""
"Remembrance - Storm Clouds..1938","T8681","","","","","","","",""
"Remembrance - The Camps (Instr)","T8675","","","","","","","",""
"Remembrance - The Coming Storm","T8679","","","","","","","",""
"Remembrances (Instr)","T10090","","","","","","","",""
"Reminiscence (Instr)","T10623","","","","","","","",""
"Rendi (Heb)","T40922","","","","","","","",""
"Renew Our Days Of Old (Instr)","T4775","","","","","","","",""
"Repos (French)","T4777","","","","","","","",""
"Ariel","T21418","Literary Origin","אריאל","Jerusalem/Defense","Alb P-017(a)","","","","Alb P-017(a)"
"Requiem (Heb)","T4778","","ריקוויאם","","","","","",""
"Respondemos (Ladino)","T13109","","","","","","","",""
"Resurrection Del Angel (Instr)","T12373","","","","","","","",""
"Retsey Vimnukhoseynu (Barkin)","T10320","Religious/Liturgical/Prayer","","Rest/Shabos/Sabbath","Alb K-047(d)","Alb K-0479(d)","","","Alb K-047(d)/Alb H-033(a)/Alb G-056(b)/Alb P-002(g)"
"Return Scroll To Ark (Avodath..)","T4784","","","","","","","",""
"Returning to Yerusholaim (Eng)","T4785","","","","","","","",""
"Returns Kazimirz 1995","T12574","","","","","","","",""
"Returns Kazimirz 1995 (Instr)","T12564","","","","","","","",""
"Revakh (Esther 04:14, Heb)","T4786","","רוח (אסתר ד, עבֿרית)","","","","","",""
"Ariel (Yid, Ehrlich)","T21419","","אריאל (ייִדיש, עהרליך)","","","","","",""
"Reyita (Heb)","T4787","Literary Origin","","Love/Courting","","","","","Alb S-020(a)/Ephemera 628"
"Reynkeyt","T4788","","רײנקײט","","","","","",""
"Reysn (Fragment, Mayn Zeyde)","T7137","","רײסן (פֿראַגמענט, מײַן זײדע)","","","","","",""
"Reyzele","T2723","Love/Courtship/Folk","רײזעלע (ווידי","Love/Courtship","ML MTAG 48/Alb L-023(a)/Alb O-001(b)/Alb B-007(b)Belarsky FAV 31","ML MTAG 48/Alb L-023(a)/Alb O-001(b)/Alb R-001(a)/Belarsky FAV 15","ML MTAG 50/Gold Zem 186/Belarsky FAV 15","See Heskes 1, entries 2165, 2931, 3281 respecting sheet music."
See Ephemera 80 for singable English adapation by Edith Finell.","Alb R-001(a)/Alb H-006(a)/Alb R-033(a)/Alb B-007(b)/Belarsky FAV 15"
"Reyzele (Medley)","T8871","","רײזעלע (עבֿרית, מעדלי)","","","","","",""
"Reyzele (Rumshinsky)","T3906","","רײזעלע (רומשינסקי)","","","","","",""
"A Galitsianer In Yisroel","T7619","","אַ דאַליציאַנער אין ישׂראל","","","","","",""
"Ariela Pearl - Pearl From Warsaw","T21420","","","","","","","",""
"Reyzele Mit Ir Eyzele","T3907","Folk/Humorous/Children","רײזעלע מיט איר אַײזעלע","Jackass/Child/Feet/Ears/Bell/Reyzel's Ass/Children","","","","",""
"Reyzele Un Ir Heyzele","T3908","Folk/Children","רײזעלע און איר הײזעלע","Bunny Rabbit//Feet/Ears/Bell/Feet/","","","","",""
"Rhapsody In Blue (Instr, Excerpt)","T3909","","","","","","","",""
"Rhumba Medley","T9823","","רומבאַ (מעדלי)","","","","","",""
"Ribon Haolam (Lord Of The Univ)","T3910","","","","","","","",""
"Ribon Haolamim (Heb)","T9083","","","","","","","",""
"Ribon Olam (Aramaic)","T3911","","רבּין עלם","","","","","",""
"Richard's Bar Mitsva Tants","T3912","","","","","","","",""
"Ride The Chariot (Eng)","T3913","","","","","","","",""
"Ariela's First Step (Instr)","T21421","","","","","","","",""
"Rifkeles Tants (Instr)","T11527","","רבקהלעס טאַנץ (אינסטר)","","","","","",""
"Rifleman Of Bennington (Eng)","T3914","","","","","","","",""
"Riga (Instr)","T11537","","","","","","","",""
"Riked (Bobov, Brinner, Nign)","T3915","","ריקוד (באָבאָװ, ברינער)","","","","","",""
"Riked (Instr, Ben-Tsvi)","T3916","","","","","","","",""
"Riked (Modzitser)","T3917","","ריקוד (מודזיצער)","","","","","",""
"Riked (Modzitser, Nign)","T3918","","ריקוד (מודזיצער, ניגון)","","","","","",""
"Riked (Nign, Melitz)","T3919","","ריקוד (ניגון, מעליץ)","","","","","",""
"Riked Breslov (Instr)","T3920","","ריקוד ברעסלאָװ","","","","","",""
"Riked Eyshishuk (Instr)","T3921","","ריקוד אײשישוק (אינסטר)","","","","","",""
"Arioso (From ""Israel In Egypt)","T21422","","","","","","","",""
"Riked Hakotsrim (Heb)","T3922","","רקוד הקוצרים","","","","","",""
"Riked I (Instr)","T3923","","רקד א","","","","","",""
"Riked II (Instr)","T3925","","רקד בּ","","","","","",""
"Riked Khasidi (Instr)","T3926","","ריקוד חסידי (אינסטר)","","","","","",""
"Riked Khasidi (Nign)","T3927","","ריקוד חסידי","","","","","",""
"Riked Kozakl (Nign)","T3928","","רקוד קאָזאַקל","","","","","",""
"Riked Modzits (Instr)","T3929","","ריקוד מודזיץ","","","","","",""
"Riked Nign (Instr)","T3930","","ריקוד ניגון","","","","","",""
"Riked Yerusholaim (Psalm 122:02)","T3932","","תהלים קכב (ריקוּד ירוּשלים)","","","","","",""
"Arioso From 3 Songs Without Words","T21423","","","","","","","",""
"Riked Yerusholaim I (Instr)","T3933","","ריקוד ירושלים I (אינסטר)","","","","","",""
"Riked Yeshivut Rumeylis (Instr)","T3934","","ריקוד ישיבֿת רומײלים (אינסטר)","","","","","",""
"Rikidi Et Haketsev Haze (Heb)","T3935","","רקדי את הקצב הזה (עבֿרית)","","","","","",""
"Rikud (Breslever)","T11993","","ריקוד (ברעסלעװער)","","","","","",""
"Rikud (Instr, Epstein Bros)","T11203","","ריקוד (אינסטר, ברידער עפּשטײן)","","","","","",""
"Rikud II (Instr, Epstein Bros)","T11208","","ריקוד 2 (אינסטר, ברידער עפּשטײן)","","","","","",""
"Rikud Khasidi Khabad (Instr)","T3936","","רקוד חסידי חבּ""ד (אינסטר)","","","","","",""
"Rikud Nigunim (Instr, Medley)","T12498","","ריקוד ניגונים (אינסטר, מעדלי)","","","","","",""
"Rikudu Shel Reb Khaim (Instr)","T3937","","רקודו של ר"" חיים (אינסטר)","","","","","",""
"Rina (Heb)","T3938","","","","","","","",""
"Arkan (Instr, Hutzul Dance)","T23409","","","","","","","",""
"Ring Them Bells (Eng)","T3939","","","","","","","",""
"Rise Up O Flame (Eng, Medley)","T10557","","","","","","","",""
"Rit Ezin (Arabic)","T3940","","","","","","","",""
"Rita (Instr)","T3941","","","","","","","",""
"Ritshkele","T3942","","ריטשקעלע","","","","","",""
"Ritsi Shmulik Kore Lakh (Heb)","T3669","","רוצי שמוליק קורא לך (עבֿרית)","","","","","",""
"Rivati (Ver Hot Aza Yingele, Heb)","T3670","","װער האָט אַזאַ ייִנגעלע (עבֿרית)","","","","","",""
"Rivers Of Tears (Eng)","T3680","","","","","","","",""
"Rebeka","T19045","Cabaret/Polish/Love/Concert/Tango","רבֿקה","Intermarriage/Poverty/Class/Dream","Pepper 2 190 (Polish)","Ephemera 1165","Pepper 2 190","","Ephemera 1165"
"Aromimkha","T21424","","ארוממך","","","","","",""
"Rivkele","T3682","Love/Theater","רבֿקהלע","Yearning/Passion","","","","",""
"Rivkele Dem Rebns","T3683","","ריבֿקעלע דעם רבּנס","","","","","",""
"Rivkele Di Shabesdike","T3684","Holocaust/Historical","רבֿקהלע די שבּתדיקע","Husband/Sabbath/Workers/","Ephemera 1203/ML WAH 33/Alb D-004(g)/Alb V-001(c)/Alb V-001(b)/Vinkov 4 144","Alb D-004(n)/ML WAH 33/Alb G-006(b)/Alb Z-010(g)/Vinkov 4 144","ML WAH 33/Vinkov 4 144","Wives in Bialostock ghetto whose husbands were taken in an ""action"" on a particular shabos referred to themselves ""Shabosdike""."
Hebrew Text in album notes for V-001(b) and Ephemera 1203","Ephemera 1204//ML WAH 33/Alb G-006(b)/Vinkov 4 144"
"Rivkele Mayn Sheyner","T3943","","רבֿקהלע מײַן שײנער","","","","","",""
"Ro'ey Rakhl","T40923","","ראי רחל","","","","","See ""Shuv Lo Nelekh""",""
"Roa Veroa","T3944","Israeli/Love/Occupation","רוֹעה ורוֹעה","Shepherd/Shepherdess","Netzer 260/Bugatch 55Alb H-003(a)","Bugatch 55/B-002(b)/Alb K-001(a)","Netzer 260/Bugatch 55","","Alb D-002(a)/Alb K-001(a)/Alb G-009(a)"
"Rock 'N' Roll Show (Eng)","T3946","","","","","","","",""
"Rock Of Ages","T2679","","מעוֹז צור (ענגליש)","","","","","See ""Mo'oz Tsur""",""
"Rock'n Roll Kozatsky","T3947","Instrumental/Klezmer","","","","","","",""
"Rockabye Baby (Parody, Eng)","T3948","","","","","","","",""
"Rode, Rode Rane","T3949","","ראָדע, ראָדע ראַנע","","","","","",""
"Rogez (The Cat Is Angry)","T10125","","רוגז (עבֿרית)","","","","","",""
"Rok El Atsmi (Heb)","T3950","","רק על עצמי (עבֿרית)","","","","","",""
"Rokheyl Mevako (Heb)","T3951","","","","","","","",""
"Rokheyl M'vako Al Boneho","T3953","","","Literary Origin/Biblical/","Tanakh v.2 p1205/Ephemera 1436","Moskow Sheet Music 33","","Rachel Weeps For Her Children"
See Jeremiah 31:15","Tanakh v.2 p1205/Ephemera 1436"
"Rokhl Mevako Al Boneho (Zunzer)","T3954","Literary Origin/Lament/Maskilic","רחל מבֿכּה על בּניה (זונזער)","Dispersion/Rachel","Alb Z-002(a)","Zunzer 136","Zunzer 136","",""
"Roll On Columbia (Eng)","T3955","","","","","","","",""
"Arons Khosid Tants (Instr)","T12502","","אהרנס חסיד טאַנץ (אַינסטר)","","","","","",""
"Rom V'niso (Heb)","T3956","","רם ונשׂא","","","","","",""
"Romance (Arabic)","T3957","","","","","","","",""
"Romance (Russian)","T8620","","","","","","","",""
"Romance De Don Boyso (Spanish)","T4285","","","","","","","",""
"Romance Lid (Yid)","T4286","","ראָמאַן ליד","","","","","",""
"Romanza De La Santa Elana (Ladino)","T9963","","","","","","","",""
"Romanze (Migrant Song, Russian)","T11358","","","","","","","",""
"Romemu (Shneyer)","T4288","Biblical/Psalm","רוֹממוּ (שנייער)","Psalm 099:05","","","","Exalt the Lord our God and bow down to his footstool;…",""
"Rona (Heb)","T4289","","","","","","","",""
"Rona Sheli (Heb)","T9816","","","","","","","",""
"Around The World (Instr)","T21426","","","","","","","",""
"Rondinella (Instr)","T8960","","","","","","","",""
"Rondo From String Quartet K 159","T4290","","","","","","","",""
"Roni Vesimkhi (Zachariah 02:14)","T4292","","רני ושׂמחי (זכריה ב)","","","","","",""
"Ronu, Ronu (Heb)","T4293","","","","","","","",""
"Roosevelt, President Theodore","T4294","","","","","","","",""
"Roots (Eng)","T12524","","","","","","","",""
"Roots And Wings (Eng)","T9679","","","","","","","",""
"Ropshitz Waltz (Instr, Neginah)","T7793","","ראָפּשיץ װאַלס (אינסטר)","","","","","",""
"Rosa (Efron)","T4295","Literary Origin/Holocaust","ראָסאַ (עפֿראָן)","Vilna/Place/Fear/Children/USSR/Hope/Revenge","","","","",""
"Rosa, Rosa (Eng)","T4296","","","","","","","",""
"Aroys","T21427","","אַרױס","","","","","",""
"Rosa, Rosa (Heb)","T4297","","","","","","","",""
"Rosa, Rosa (Russian)","T4298","","","","","","","",""
"Rose Of Israel (Instr)","T4299","","","","","","","",""
"Rose Of Sharon (Shir Hashirim)","T4300","","","","","","","",""
"Rosen, Pinkhas (Eng)","T7113","","","","","","","",""
"Rosensaft, Joseph (Baglayt Verter)","T4301","","ראָזענסאַפֿט, יוסף (באַגלײַט-װערטער)","","","","","",""
"Roses Hanging Over The Water (Ins)","T9325","","","","","","","",""
"Rosh Hashana (Eng, Heb, Zim)","T4302","","רש השנה (עבֿרית, ענגליש, זים)","","","","","",""
"Rosh Hashana (Heb, Eng)","T4303","","רש השנה (עבֿרית, ענגליש)","","","","","",""
"Rosh Hashana (La Nouvelle Annee)","T4304","","","","","","","",""
"A Galitsianer Tentsl","T7893","Klezmer/Instrumental","אַ גאַליציאַנער טענצל","","","","","",""
"Rosh Hashana: God The King (Heb)","T4305","","","","","","","",""
"Rosh Hashona (Eng, Zim)","T4306","","","","","","","",""
"Rosh Hashona (My Darling Clem)","T11193","","ראָש-השנה (ייִדיש, מעדלי)","","","","","",""
"Rosh Hashona Medley (Instr)","T4307","","ראָש-השנה מעדלי (אינסטר)","","","","","",""
"Rosh Hashona Un Yom Kipur","T4308","Literary Origin","ראָש-השנה און יום-כּיפּור","Children/Holiday/Rosh Hashana/Yom Kipur/Clothes","","","","",""
"Rosh Khoydesh Nisn (Heb)","T4309","","","","","","","",""
"Rosh Pina (Heb)","T4310","","ראש פּינה","","","","","",""
"Rouki (Russian)","T7579","","","","","","","",""
"Romanian Bulgar","T8313","Instrumental/Klezmer/Bulgar","רומיינישן בולגאַר","","","","","",""
"Romanian Bulgar (Medley)","T10876","","רומײנישע בולגאַר (מעדלי)","","","","","",""
"Aroys Iz Gegangen A Yid","T21294","Holocaust/Places","אַרױס איז געגאַנגען אַ ייִד","Labor Camps/Okentshe/Dinasi/Sejm/Blood/Streets/Tears/Family","Alb V-001(a)/Alb V-001(b)/Alb V-001(c)","","","A Jew Went Out"
Hebrew Text in album notes for V-001(b) and Ephemera 1203"
English Adaptation with Album Notes and Ephemera 1204","Alb V-001(c)"
"Romanian Bulgarish","T8278","Klezmer/Instrumental","","","","","","",""
"Romanian Doyne","T4493","Klezmer/Instrumental/Doyne","רומײנישער דױנע","","","","Comp Klez 71","",""
"Romanian Drinking Song (Instr)","T10951","","","","","","","",""
"Romanian Fantasy (Instr)","T4494","Klezmer/Instrumental","","","","","","",""
"Romanian Flute Doyne (Instr)","T4311","","","","","","","",""
"Romanian Hora (Instr, Firn Di..)","T10875","","רומײנישע האָראַ (אינסטר, פֿירן די..)","","","","","",""
"Romanian Medley (Instr)","T10821","","רומײַנישע מעדלי (אינסטר)","","","","","",""
"Romanian Medley (Oranim Zabar)","T9286","","","","","","","",""
"Romanian Poem, OP. 1","T8226","Classical","","","","","","",""
"Aroys Iz In Vilna A Nayer Bafel","T9048","","אַרױס איז אין װילנע אַ נײַער באַפֿעל","","","","","",""
"Romanian Rhapsody No. 1, OP.11","T8227","Classical","","","","","","",""
"Romanian Rhapsody No. 2, OP.11","T8228","Classical","","","","","","",""
"Romanian Sirba (Instr)","T4313","","רומײנישע סירבאַ","","","","","",""
"Romanian Sirba Mit Tsushpil","T8271","","רומײנישע סירבאַ מיט צושפּיל (אינסטר)","","","","","",""
"Romanian Volakh","T4314","Instrumental/Klezmer","רומײנישער װאָלאַך","","","","","",""
"Round The Campfire (Heb)","T4315","","מסביב למדורה","","","","","",""
"Roye Pomerantsn (Blood Oranges)","T12353","","רױטע פּאַמעראַנצן","","","","","",""
"Royte Yagdes","T11656","","רױטע יאַגדעס","","","","","",""
"Royz Royz","T9587","Folk/Khasidic/","רױז רױז","Rose/Exile/Golus/Shkhine/Forest","Kipnis 100 224/Alb R-034(h)","Rubin Voi 247/Alb M-026(a)/Alb R-034(h)","","Kipnes, p 224 credits the ""Riminiver Rebbe"" with the text after -"
hearing a shepherd singing ""Royz Royz"". Khana Mlotek is cited in -"
CD liner notes that text was composed by ""Rabbi Isaac Taub"" after - hearing the shepherd. Pasternak, p 160 (Beyond Hava Nagila) -"
credits ""Rabbi Isaac of Kalev"", also that some credit ""Rabbi -"
Hershel of Riminev"" / Brave Old World credits Isaac of Kalev.","Rubin Voi 247/M-062(a)/Alb 034(h)"
"Rozelekh Un Perelekh","T7824","","ראָזעלעך מיט פּערעלעך","","","","","",""
"Aroyskumen Zolstu Mayn Meydl","T10707","Love/Courting/Folk","אַרױסקומען זאָלסטו מײַן מײדל","Night/Quiet/Stars/Stillness/","","Alb S-022(e)","","",""
"Rozhinkes Mit Mandlen","T3088","Folk/Theatre/Lullaby/Viglid","ראָזשינקעס מיט מאַנדלען","Mother/Son/Metaphor/Occupation/Future/Raisens/Almonds","ML MTAG 04/Alb K-014(a)/GYF 7/Alb L-023(a)/Alb C-015(a)/Vinkov 4 188/Sh Sh 37/","ML MTAG 04/GYF 06/Alb D-004(k)/Alb C-015(a)/Alb R-001(a)/Alb L-023(a)","ML MTAG 05/Bikel  99/Vinkov 4 188/Metro Scher 20","See Gottlieb, p. 43-44 for relationship to Berlin's ""Blue Skies"""
See Ephemera 80 for singable English adapation by Edith Finell."
Orig, Translit & Translat on Alb B-211(a)","Alb L-023(a)/Bikel  99/GYF 7/Alb K-014(a)/Alb O-001(a)/Alb R-001(a)Sh Sh 36"
"Rozhinkes Mit Mandlen (In Slobo..)","T40924","","ראָזשינקעס מיט מאַנדלען (אין סלאָב..)","","","","","",""
"Arrange..Of Tradl Sephardic Chants","T21295","","עיבודים של לחנים מסורתיים...","","","","","",""
"Ruakh Adonay","T4381","Biblical/Zachariah","רוח ה'","Right/Power/Spirit","Tanakh 2 1515","","","Not by might, nor by power, but by my spirit, saith the Lord of hosts","Tanakh 2 1515"
"Ruakh Atsuv (Heb)","T4382","Literary Origin","רוּח עצוּב","","Alb K-009(a)","","","",""
"Ruakh Beharim (Heb)","T4383","","רוח בּהרים","","","","","",""
"Ruakh Mevaderet","T4384","Folk","רוּח מבדרת","Wind/Dress","Netzer 224","Netzer 224","Netzer 224","",""
"Art And Culture Of Terezin (Eng)","T21296","","","","","","","",""
"Ruakh Ruakh","T4385","Israeli/Literary Origin/","רוח רוח","Wind/Garden/Unceasing/Playful/","Alb I-001(b)","","","""Wind O Wind""","Ephemera 690"
"Rucu (Ladino)","T4481","","","","","","","",""
"Rucu Quere Cama A La Franca (Lad)","T9700","","","","","","","",""
"Rudensky, Shmuel, Poeme","T4482","","רודענסקי, שמואל, פּאָעמע","","","","","",""
"Rudy Ready","T4483","Vaudeville/Theater/Humor/Shund","","","","","","",""
"Rudy/Helena Theme (Instr)","T4484","","","","","","","",""
"Rue (Eng)","T8749","","","","","","","",""
"Ruf Fun Der Yidisher Kamfs Org...","T9504","","רוף פֿון דער ייִדישער קאַמפֿס אָרג...","","","","","",""
"Rufn Di Kinder Aheym (Instr)","T9882","","רופֿן די קינדער אַהײם (אינסטר)","","","","","",""
"Rukhele","T4485","","רחעלע","","","","","",""
"Rokhele (Botwinik)","T4486","Holocaust/Literary Origin","רחלע (באָטװיניק)","Child/Murder/Loved/Family/Play/Friends/SS Barbarians","Alb D-004(g)/Alb W-062(a)Botwinik 3","Alb D-004(n)/Alb W-062(a)Botwinik 3","Botwinik 5","","Alb D-004(g)/Alb D-004(n)/Alb W-062(a)Botwinik 4"
"Rukhele (San, Yid)","T4488","","רחלה (סאַן, ייִדיש)","","","","","",""
"Rukhl (Yid)","T10518","","רחל (ייִדיש)","","","","","",""
"Rukhot (Yid)","T4489","","רוחות (ייִדיש)","","","","","",""
"Ruleta (Dzhankoye)","T4490","","רולעטאַ (דזאַנקױע)","","","","","",""
"Romanian Concert Hora","T8345","","","","","","","",""
"Romanian Dance","T4491","","","","","","","",""
"Romanian Doyna (Abe Schwartz)","T4492","","רומײנישער דױנע","","","","","",""
"Romanian Fantasy #3 (Instr)","T12387","","","","","","","",""
"Romanian Hora","T4495","Klezmer/Instr/Dance","רומײנישער האָראַ","","","","","",""
"Romanian Hora And Bulgar","T7781","Instrumental/Klezmer","רומײנישן האָראַ און בולגאַר","","","","","",""
"Romanian Rhapsody","T4312","Classical","רפסודיה רומנית","","","","","",""
