"albumID","albumName","albumNameYiddish","linenote","rpm","LP_BOX","format","timeMade","languages","genre","whereProduced","comments","trackNumber","notes","fauLink","dateMade","provenance","cassette","cd"
"AP2224","Yiddish Folk Songs Sung By Sarah Ya'ari","יידישע פֿאָלקס לידער    שׂרה יערי","","0","0","","","","","","","0","","","","","x",""
"AP2225","Chansons Populaires Yiddish  Vol 2            Benzion Witler","בּן ציון װיטלער      ייִדישע פֿאָלקס לידער","","0","0","","","","","","","0","","","","","x",""
"AP2226","Ben Tsion Witler                              Live and Laugh","בּן ציון װיטלער     לעב און לאַך","","0","0","","","","","","","0","","","","","x",""
"AP2227","Israel Welichansky presents Potraits of Jewish Life","בילדער פֿון ייִדיש לעבן","","0","113","33 1/3 rpm 12"" alb/CD copy x296","","Yiddish","Literary Origin","","","8","","local","","","",""
"AP2228","Elie Wiesel Reading From His Works","","","0","113","","","","","","","0","","","","","",""
"AP2229","Simkhes Un Tsures  Francois Lilienfeld /Ensemble Galitsianer","שׂמחות און צרות","","0","0","Cassette/ Audio CD copy","","","","","","21","","local","","","x","x"
"AP223","Max Perlman         Gita Galina            A Khusn Mit Nadan","מאָקס פּערלמאַן    גיטאַ גאַלינאַ    אַ חתן מיט נדן","","0","86","33 1/3 rpm 12""","","Yiddish","Theater/Vaudville/Novelty/Humor","Tel Aviv, Israel","","8","","","","","",""
"AP2230","Little Tel Aviv        Directed and arranged by Arie Levanon","","","0","0","33 1/3 12""","","Hebrew","","Tel Aviv, Israel","","14","","","","","",""
"AP2231","Leon Lissek, Tenor  / A Toast To Life / Shimon Cohen, Arranger and conductor Israel Symphony Orchestra","אַ גלעזעלע לחיים","","0","0","Cassette/ Audio CD copy","","Yiddish","Literary Origin/Folk/Concert","Tel Aviv, Israel","","14","","local","1992","CD Purchase Eichler's, NYC 2002","x","x"
"AP2232","Sam Levenson                             But Seriously Folks","","","0","73","33 1/3 rpm 12""/Audio CD copy x528","","English","Spoken Word/Stories/Humor","New York","","11","","local","","","",""
"AP2233","Shura Lipovsky                        Moments of Jewish Life","","","0","0","","","Yiddish","","","","0","","","","","","x"
"AP2234","la'om klezmer   Klezmer Music From Berlin","","","0","0","Cassette/Audio CD copy","","","","","","11","","local","","","x","x"
"AP2235","Gershon (Gregory) Lev / The Jewish Fiddle","גרשון (גריגורי) לב        הכינור היהודי","","0","0","","","","","","","0","","","","","","x"
"AP2236","Howard Leshaw & The Golden Land Orchestra      Vol I-Yiddish","","","0","0","Cassette/Audio CD","","Yiddish","Klezmer/Theater","Fairlawn, NJ","","9","Cassette reissued on CD","local","1994","Gift of Robert & Molly Freedman","x","x"
"AP2237","Folklore Hebraique                       Charles Lichenstein","","","0","73","","","","","","","0","Recording issued by Center Communautaire Vosges -"
Tournelles.","","","","",""
"AP2238","Judische Gesange/  Leipziger Synagogalchor/    Helmut Klotz","","","0","0","Audio CD copy/33 1/3 rpm 12""","","Yiddish/Hebrew","","","","0","","","","Gift of Abe Chosid, Israel","","x"
"AP2239","Blumenfeld, Diana/ Mamser/ Knobl Zup","","","0","0","78rpm 10 inch/ Audio CD Copy","","","","","","0","","local","","","","x"
"AP224","Max Perlman                              Hot A Yid A Vaybele","מאַקס פּערלמאַן         האָט אַ ייִד אַ װײַבעלע","","0","86","","","Yiddish","","","","0","","local","","","",""
"AP2240","The Noam Singers Feature the Hebrew Version of Those Were The Days","כאלה היו הימים","","0","81","33 1/3 rpm 12""","","Hebrew","Concert/Pop?Religious","Brooklyn, NY","","12","","","1969","","",""
"AP2241","Hatikvah! Richard Tucker Sings Great Jewish Favorites","","","0","107","33 rpm album 12""","","Hebrew/English","Concert/Theatre","NY, NY","","10","","","","Gift of Mark Wasserman in memory of his father, Jerry Wasserman, November 2001","",""
"AP2242","Bravo! / Theodore Bikel Town Hall Concert","","","0","11","33 1/3 rpm 12""","","Various","Folk","New York","","15","Album liner notes include photo stills of Bikel in various film roles.","local","1958/59","Gift of Isabel Helzner, 04/05","",""
"AP2243","Sabath Hela Veckan / Stolkholm Klezmer Orchestra / Honga","","","0","0","Audio CD","60:36:00","Yiddish","Compilation","Stolkholm, Sweden","","13","","","1998","Gift of Bob and Molly Freedman,  Concerto Music 19.99 Eur, Amerstdam, May 2004","","x"
"AP2244","Brave Old World/Dos Gezang Fin Geto Lodzh/Song Of The Lodz Ghetto/ LODZH","דאָס געזאַנג  פֿון  געטאָ לאָדז","","0","0","Audio CD","69:37:00","Yiddish","Holocaust","Munich, Germany","","18","Appears to be studio recordings that are similar to the live performance tape.","","2005","Gift of Robert & Molly Freedman/ Purchase Border's Books, Phila., Pa 2005","","x"
"AP2245","The Barton Brothers/ Stories Our Jewish Mother Forgot to Tell Us","","","0","19","33 rpm 12""","","English","Comedy","NY, NY","","2","""Live"" performance that sounds like studio recording with laugh track covering a number of ""shtick, some listed, some  not","","","Gift of Mark Wasserman in memory of his father, Jerry Wasserman, November 2001","",""
"AP2246","Kosher Comedy by Benny Bell","","","0","18","33 1/3 rpm 12""","","Yiddish/Hebrew/English","Comedy","NY, NY","","12","Possibly all reissues from 78rpm discs","","","Gift of Mark Wasserman in memory of his father, Jerry Wasserman, November 2001","",""
"AP2247","The Spirit Series Vol 5/ The Spirit of Hanukkah/ Voices of the Conservative Movement","","","0","0","Audio CD Copy x431","48:44:00","Various","Comilation of Khanike Songs","","","15","","","No Date","Archival Copy","",""
"AP2248","Musiker, Sam and His Orch./ Mayn Elterns Fargenign/ Trad. Dances","","","0","0","78rpm 10 inch","","","","","","0","","","","","",""
"AP2249","Kwartin, Khazn Zanvel/ Tsur Yisroel/ Ye Halelu","","","0","0","78rpm 10 inch","","","","","","0","Tape 013","","","","",""
"AP225","Songs of Israel's First Pioneers","אנו נהיה הראשונים","","0","86","33 1/3 rpm 12"" (2 Albums)","","Hebrew","Israeli/Zionist/","Israel","","0","","","","","",""
"AP2250","Hershman, Khazn Mordkhe/ Dos Pastekhl/ Der Yid In Bes Hamedresh","","","0","0","78rpm 12 inch","","","","","","0","Tape 014","","","Gift of Dropsie College Library, 09/2012","",""
"AP2251","Hershman, Khazn Mordkhe/ Eneynu/ Halbeyn Khatoeynu","","","0","0","78rpm 12 inch","","","","","Organ by Abe Ellstein.","0","Tape 014","","","","",""
"AP2252","Schwartz,William/Cohen, Chas./ Es Benkt Zikh Aheym/ Yidn, Geyt Keyn Tsiun!","","","0","0","78rpm 12 inch","","","","","Title 1:  William Schwartz/Charles Cohen.  Title 2:  William Schwartz. (From ""","0","Tape 014","","","","",""
"AP2253","Pinchik, Kh. Pierre/ Rozo De Shabos -/ teyl 1 un 2","","","0","0","78rpm 12 inch","","","","","","0","Tape 014","","","","",""
"AP2254","Juvelier, Kalmen/Einhorn, Mme/ A Mentsh Zol Men Zayn/ Kevakorath Roeh Edru","","","0","0","78rpm 12 inch","","","","","Title 1 - Juvelier; Title 2 - Mme. Einhorn","0","Tape 014","","","","",""
"AP2255","Hershman, Khazn Mordkhe/ Eyn Kemekhay.../ Ahavat Rahiya","","","0","0","78rpm 12 inch","","","","","W/orch.","0","Tape 014","","","","",""
"AP2256","Hershman, Khazn Mordkhe/ Barukh Adonoy B'yom.../ Barukh Sh'mey","","","0","0","78rpm 12 inch","","","","","W/orch.","0","Tape 014","","","","",""
"AP2257","Hershman, Khazn Mordkhe/ Ato Yazarto -/ teyl 1 and 2","","","0","0","78rpm 12 inch","","","","","W/orch.","0","Tape 014","","","","",""
"AP2258","Satz, Ludwig/ Der Freylekher Khazn - Teyl 1/ Der Freylekher Khazn - Teyl 2","","","0","0","78rpm 12 inch","","","","","","0","Tape 014","","","","",""
"AP2259","Chaim Neslen - Selected Songs","","Neslen gifted his ""Course Book"" (in the Archive) used in Oxford -"
Yiddish Studies Institute in the summer of 1999 containing -"
original Yiddish text, transliteration and translation of several -"
hunderd songs and at my request (rf), provided this cassette","0","0","Cassette/Audio CD copy","","Yiddish","Folk/Collection","England","See Neslen's comments with Cassette. Also his Oxford Course Book","20","","local","Nov 1999","Gift of Chiam Neslen","x","x"
"AP226","David Peled                   S'benkt zikh noch a yidish lid","דוד פּלד  ס'בענקט זיך נאָך אַ ייִדיש  ליד","","0","86","","","","","","","0","","","","","",""
"AP2260","Milken/ Jewish Voices in the New World","","","0","0","","","","","","","0","","","","","","x"
"AP2261","Milken/ David Diamond: Ahava--Brotherhood","","","0","0","","","","","","","0","","","","","","x"
"AP2262","Jan Peerce/ Cantorial Masterpieces/ Orchestra conducted by Abraham Ellstein","","","0","84","33 1/3 rpm 12""","","Hebrew","Cantorial/Concert/Religious","New York, NY","","10","","","","Gift of Jerry Wasserman in memory of his father, Mark Wasserman, November 2001","",""
"AP2263","The Russian Jewish Composers Vol III/ Yosef Yankelev, violin/ Paul Posniak, piano","","","0","93","33 1/3 rpm 12""","","","Instrumental/Classical","Chicago, IL","","7","","","1983","Gift of Jerry Wasserman in memory of his father, Mark Wasserman, November 2001","",""
"AP2264","Color in Music/Jewish Memories/ Benedict Silberman, his Orchestra & Chorus","","","0","98","33 1/3 rpm 12""","","Yiddish","Chorus/Folk","New York, NY","","13","","","","Gift of Jerry Wasserman in memory of his father, Mark Wasserman, November 2001","",""
"AP2265","The Sunset Gang/  ""Yiddish""  (Video)","","","0","0","Video","54:00:00","English/Yiddish","Television/Drama","USA","","1","Based on the book by Warren Adler","`","1991","Gift of Robert & Molly Freedman","",""
"AP2266","The Whole World Dances/ Geule Gill/ Dov Seltzer Conducting the Oranim Zabar Folk Dance Orchestra","","","0","83","33 1/3 rpm 12""","","Hebrew","Compilation/Pop/Folk","New York, NY","","12","","","","Gift of Jerry Wasserman in memory of his father, Mark Wasserman, November 2001","",""
"AP2267","Zliley Hugim Carmelim    Our Israel","","","0","0","Audio CD","69:24:00","Hebrew/English","Israeli/Folk","","","15","","","","CD donated by Israeli House of the Consulate General of Israel in Philadelphia","",""
"AP2268","Laroz Variations                                 Zehava Ben","גירסאות לרוז                          זהבה בן","","0","0","Audio CD","48:06:00","Hebrew/Arabic","Israeli/Pop","Israel","","11","","","2003","","","x"
"AP2269","Fantasy 2002       Baldi Olier","","","0","0","Audio CD","40:21:00","","Instrumental","Israeli","","10","","","2002","CD donated by Israeli House of the Consulate General of Israel in Philadelphia","","x"
"AP227","David Peled                            Zing! Dovid'l Klezmer","דוד פּלד  זינג! דווידל קלעזמער","","0","87","","","","","","","0","","","","","",""
"AP2270","Safam                  Bittersweet","שׂפם     מר מתוק","","0","103","","","","","","","0","","","","","",""
"AP2271","Shalom                            Music of the Jewish People","","","0","0","","","","","","","0","","","","","","x"
"AP2272","Mazel Tov!                   More Music Of The Jewish People","","","0","0","Audio CD/Cassette","","English/Yiddish","Compilation","Rosewell, Georgia","","22","Cassette issued by Intersound Entertainment PCD 3454 1993","","","Cassette Gift of Bart Banks, July 2010","x","x"
"AP2273","Andy Statman   Zev Feldman              Jewish Klezmer Music","ייִדיש קלעזמער מוזיק","","0","103","","","","","","","0","","","","","",""
"AP2274","Little Russian Chorus/ Baiamooty/ Zaswistali Kazachenky","","","0","0","Audio CD copy/78rpm 10""","","","","","","0","","","","","",""
"AP2275","Casman, Nellie/ Oy Iz Dos A Rebetsin/ Es Iz A Mekhaye, Es Is Gut","","","0","0","Audio CD copy/78rpm 10""","","","","","","0","","","","","",""
"AP2276","Juvalier, Kalmen/ Dos Tilimel/ Der Shokhet Dovid","","","0","0","Audio CD copy/78rpm 10""","","","","","","0","","","","","",""
"AP2277","Fuchs, Leo/ Der Galitzianer Badkhn/ Men Darf Makhn A Lebn","","","0","0","78rpm 10 inch","","","","","","0","Tape 030","","","","",""
"AP2278","Rumenishe Kapelye/ Patsh Tants/ Khosn Kale Mazl Tov","","","0","0","78rpm 10 inch","","","","","","0","","","","","",""
"AP2279","Wilner, Max/ Koyft A Khosn/ Freylekh Zayn","","","0","0","78rpm 10 inch","","","","","","0","","local","","","",""
"AP228","Prokofiev    Max Goberman Conducting The Vienna New Symphony","","","0","87","","","","","","","0","","","","","",""
"AP2280","Best, Larry/ Off To The Races/","","","0","0","78rpm 10 inch","","","","","","0","","","","","",""
"AP2281","Zeman, Anna & Tanzman, Jos./ Fish Oyf Shabes/ Der Italyaner","","","0","0","78rpm 10 inch","","","","","","0","","","","","",""
"AP2282","Picon, Molly/ Vos Zol Ikh Ton Az Ikh Hob.../ Molly Dolly","","","0","0","78rpm 10 inch","","","","","","0","","","","","",""
"AP2283","Songs Are All I Have/ The Musical Heritage Of Vladimir Heifetz","לידער-אַלץ װאָס איך פֿאַרמאָג  די מוזיקאַלישע ירושה פֿון װלאַדימיר חפֿץ","Bio of Vladimir Heifetz; Essay by Mark Slobin; Original texts with translation and transliteration","0","0","5 1/4"" CD","53:49:00","Yiddish/Hebrew","Literary Origin/","New York, New York","","15","","","2002","Workmen's Circle Bookstore, Price $!8 + $5 shipping","","x"
"AP2284","Hillel And Aviva       Songs of Canaan","","","0","52","33 1/3 rpm 12""/Audio CD copy x479","","Hebrew/Instrumental","Sephardic/Yemenite/Israeli","New York","","12","","","No Date Given","","",""
"AP2285","Wholesale Klezmer Band/  Sing For Peace/ Dance For Joy","זינגען  פֿאַר שלום  טאַנצן פֿאַר פֿרייד","","0","0","Audio CD","","Yiddish/Hebrew","Folk/Klezmer","Watertown, Maine","","10","","","","Dec 2000, KlezKamp, Cherry Hill, NJ","","x"
"AP2286","Misha Alexandrovich,  Yiddish Songs of a Perished World/ Un Dokh Zing Ikh!","און דאָך זינג איך","Notes by Abba Kovner from ""Anthology of Yiddish Folksongs""","0","0","Audio CD","65:03:00","Yiddish","Folk/Literary Origin","Dortmund, Germany","Reissue of songs recorded in Moscow 1968 and Tel Aviv 1972","16","","","2002","retski","","x"
"AP2287","Perl Fun Yidishn Folkslid   Mir Trogn A Gezang    Khor Vilna","פּערל פֿון ייִדישן פֿאָלקס-ליד אױסגעפֿירט דורך מקהלת כאָר וילנה","","0","111","","","","","","","0","","","","","",""
"AP2288","Yiddish Songs, Vol. 1                   Samuel Vigoda, tenor","","","0","112","","","","","","","0","","","","","",""
"AP2289","Cantor Samuel Vigoda      Sabbath Services evening & morning","","","0","112","","","","","","","0","","","","","",""
"AP229","Robert Peters Sings Folk                 Raisins and Almonds","","","0","87","","","","","","","0","","","","","",""
"AP2290","The Best Of Yiddish Vaudeville","","","0","112","","","","","","","0","Duplicated on V-005(a)1","","","","",""
"AP2291","The Best Of Yiddish Vaudeville Vol 1 & Michel Rosenberg","","","0","0","","","","","","","0","All songs on V-005(a) duplicated on this CD","","","","","x"
"AP2292","The Best of Yiddish Vaudeville  Vol 2","","","0","0","","","","","","","0","","","","","","x"
"AP2293","Schwartz, Maurice/ Teyve Der Milkhiker/","","","0","0","78rpm 12 inch","","","","","","0","Tape 018","","","","",""
"AP2294","Rusish-Yidishe Orch./ Gezang Af Tsiuns Geburt/ Likhtike Nakht","","","0","0","78rpm 10 inch","","","","","","0","","","","","",""
"AP2295","The Jewish Comedians/ Far Der Khupe/ Nokh Der Khupe","","","0","0","78rpm 10 inch","","","","","(W/Abe Schwartz's Orch.)","0","Tape 032","","","","",""
"AP2296","Weissman, Bessie/ Ver Vil A Kale/ Ikh Toyg Tsu Gornit","","","0","0","78rpm 10 inch","","","","","","0","Tape 034","","","","",""
"AP2297","Weissmann, Hermann/Fr. Glaser/ Di Shviger/ Khane Mit Yoelin","","","0","0","78rpm 10 inch","","","","","(W/Orch.)  Title one is from ""A Mentsh Zol Men Zayn,"" Title Two is from ""Yidn","0","","","","","",""
"AP2298","Bernard, Barney/ Cohen at the Telephone/ Goldstein Goes in the ...","","","0","0","78rpm 10 inch","","","","","...Railroad Business.","0","","","","","",""
"AP2299","Elman, Misha/ Menuett (sic) in D/","","","0","0","78rpm 10 inch","","","","","(w/pianoforte:  W.H. Golde)","0","","","","","",""
"AP23","Chava Alberstein  / Yiddish Folk Songs / Margaritkelekh","חוה אַלבערשטײן    מאַרגאַריטקעלעך","","0","1","12"" Alb 33/13 rpm","","Yiddish","Folk/Theater/Literary Origin","Israel","","0","","","","","",""
"AP230","Pioneer Women Presents ""A Way Of Life""   Mira and her Guitar","","","0","87","","","","","","","0","","","","","",""
"AP2300","Rosenshak, Nahen (w/orch.)/ A Grus Fun Der Heym/ Shenk Mir Mayn Mame","","","0","0","78rpm 10 inch","","","","","","0","Tape 032","","","","",""
"AP2301","Casman, Nellie (w/orch.)/ Dos Fidele/ Avreml","","","0","0","Audio CD copy/78rpm 10 inch","6:33","Yiddish","Vaudeville/Klezmer/Theater","Camden, NJ","(W/orch.)","2","Tape 033","","","","",""
"AP2302","Feldman, Joseph/ Mazl/ A Briv Fun Mayn Vayb","","","0","0","78rpm 10 inch","","","","","W/orch.","0","Tape 019","","","","",""
"AP2303","Goldstein, Morris/ A Heym In Palestine/ Ales Far Gelt","","","0","0","78rpm 10 inch","","","","","Both titles are from ""A Khasene In Palestine"".","0","Tape 019","","","","",""
"AP2304","Casman, Nellie/ Oysgeshpilt/ Vu Zaynen Mayne Zibn Gute Yor?","","","0","0","78rpm 10 inch","","","","","W/orch.","0","Tape 019","","","","",""
"AP2305","Gold, Clara/Goldstein, Gus/ Mendl, Bist A Sheyner/ Mendl Shiker","","","0","0","78rpm 10 inch","","","","","(W/orch.)","0","Tape 019","","","","",""
"AP2306","Karp, Abe and Gussie/ Dos Zibetsik Yorike Por-Folk/ Der Grober Yung","","","0","0","78rpm 10 inch","","","","","With violin, flute, and piano accomp.","0","Tape 019","","","","",""
"AP2307","Variety Yiddish Theatre","","","0","112","33 1/3 rpm 12 ""","","English/Yiddish/Hebrew","Theatre/Collection/Vaudville","New York","","12","","","","","",""
"AP2308","20th Century Yiddish Humor","","","0","112","","","","","","","0","","","","","",""
"AP2309","Poems and Songs by Aron Vergelis","","","0","112","33 1/3 rpm 10""/Audio CD copy x300","","Yiddish","Concert/USSR","USSR","","12","","","","","",""
"AP231","Moses Pergament:       Den Judiska Sangen    The Jewish Song","","","0","87","33 1/3 rpm 12""/Audio CD copy x386","","Swedish","Classical","Sweden","","13","Two Albums","","","","",""
"AP2310","Sweet Dreams II  (Sheyne Chalomes)    For Guitars and Flutes","שײנע חלומות ב","","0","0","","","","","","","0","Arranged and Performed by Bluma Schonbrun and Bill Bridges with -"
Jose Shapiro.","","","","x",""
"AP2311","Belarsky, Sidor/ Katusha/ By The Cradle","","","0","0","78rpm 10 inch","","","","","with Mischa Borr and Orchestra/ Part of set: Songs of the Steppes","0","Tape 026/ Have orginal album","","","","",""
"AP2312","Belarsky, Sidor/ Hobo Song/ Morning Light","","","0","0","78rpm 10 inch","","","","","with Mischa Borr and Orchestra/Part of set: Songs of the Steppes","0","Tape 026/ Have orginal album","","","","",""
"AP2313","Belarsky, Sidor/ Dark Night/ Taachanka","","","0","0","78rpm 10 inch","","","","","with Mischa Borr and Orchestra/Part of set: Songs of the Steppes","0","Tape 026/ Have orginal album","","","","",""
"AP2314","Belarsky, Sidor/ My Beloved One/ At The Samovar","","","0","0","78rpm 10 inch","","","","","with Mischa Borr and Orchestra; third title: From Border to Border/Part of set","0","Tape 026/ Have orginal album","","","","",""
"AP2315","Glazer, Tom/ Ballad of Franklin D/","","","0","0","78rpm 10 inch","","","","","Part of set: Ballad for FDR/ Parts 1 and 2","0","Have original cover","","","","",""
"AP2316","Glazer, Tom/ Ballad of Franklin D/","","","0","0","78rpm 10 inch","","","","","Part of set: Ballad for FDR/ Parts 3 and 4","0","Have orginal cover","","","","",""
"AP2317","Toyber, Khayim/ Khasene Vals/ Der Ershter Vals","","","0","0","78rpm 10 inch","","","","","","0","","","","Gift of Adesman Family, July 2014","",""
"AP2318","Toyber, Khayim/ Dos Lebn Iz A Kholem/ Khaye Sho","","","0","0","78rpm 10 inch","","","","","","0","","","","","",""
"AP2319","Kressyn, Miriam/ Before The United Nations/","","","0","0","78rpm 10 inch","","","","","Part of set: A Nation Is Born.  Narrated by Miriam Kressyn.","0","Have orginal album, advertisement for Banner on inside back with inset photos of artists.","","","","",""
"AP232","Peter and the Wolf      Young Person's Guide To The Ochestra","פּטר והזאב - פּרוקייב     מדריך לתזמורת לבני הנעורים - בּריטן","","0","87","33 1/3 rpm 12""/Audio CD copy x385","","Hebrew","Classical","Israel","","2","","local","1980","","",""
"AP2320","Kressyn, Miriam/ Actual Partition Vote at Flush/ ing Meadows; A Day to Remember","","","0","0","78rpm 10 inch","","","","","Part of set: A Nation Is Born.  Narrated by Miriam Kressyn.","0","Have orginal album, advertisement for Banner on inside back with inset photos of artists.","","","","",""
"AP2321","Kressyn, Miriam/ On the Spot Interviews/ Ze Hayom Avsav Hashem","","","0","0","78rpm 10 inch","","","","","Part of set: A Nation Is Born.  Narrated by Miriam Kressyn.","0","Have orginal album, advertisement for Banner on inside back with inset photos of artists.","","","","",""
"AP2322","Toyber, Khayim/ Nokh Eyn Tants/ A Mames Harts","","","0","0","78rpm 10 inch","","","","","","0","","","","Gift of Adesman Family, July 2014","",""
"AP2323","Achar Katzir / Gevatron in Naomi Shemer Songs","אחר קציר / הגבעטרון בּשירי נעמי שמר","","0","0","","","","","","","0","","","","","","x"
"AP2324","Alexandra Gorelik sings A Violet &..Jewish Traditional Songs","אוורצל","","0","0","","","","","","","0","","","","","","x"
"AP2325","Gregori Schechter's Klezmer Festival Band  /Echoes of the Shtetl","","Cover contains photograph of the band members with instruments. -"
Liner notes give background info about the band.","0","0","Audio CD","","","Instrumental/Klezmer/Traditional","London, England","","13","","","1993","Gift-Geraldine Avebach of Jewish Music Institute, London. Klezkamp 2000","","x"
"AP2326","Aron Saltiel                                Jiddische Lieder","ייִדישע לידער","","0","0","Audio CD","","","","","","0","Recording made in Vienna, Austria","","","","","x"
"AP2327","Moses und Aron/ Arnold Schoenberg/ Pierre Boulez","","","0","0","Audio CD","1:45:33","German","Opera/Classical","USA","","25","Two CD set - Acts  One & Two.  Text of Act Three is published in the liner notes - not  recorded","local","1996","Gift of Robert and Molly Freedman, Purchase 2007, JMG Phila., PA","","x"
"AP2328","Jewface","","","0","0","Audio CD","51:05:00","English","Vaudville/Comedy/Race/Novelty","USA","","16","Songs reconstituted from wax cylinders","","2006","Gift of Robert & Molly Freedman, 2006","","x"
"AP2329","Frank London/ Hazonos / Featuring Cantor Jacob Ben Zion Mendelson","","","0","0","Audio CD","56:46:00","Hebrew","Cantorial/Religious","New York City","","9","","","2005","Gift of Robert & Molly Freedman, 2007","","x"
"AP233","Tradition / Itzhak Perlman plays Popular Jewish Melodies/ Israel Philharmonic Orchestra/ Dov Seltzer, Conductor and Arranger","","","0","87","33 1/3 rpm 12""","","","Orchestral/Violin/Instrumental","Tel Aviv, Israel","","9","","","1987","Gift of Robert & Molly Freedman","",""
"AP2330","Rozhinkes Mit Mandlen   Yidish Folks Lider Fun Tova Ben Tsvi","ראָז'נקעס מיט מאַנדלען - ייִדיש פֿאָלקס לידער פֿון טובה-בּן צוי","","0","0","","","","","","","0","Duplicate of T-003(b) plus four songs","","","","x",""
"AP2331","Yidishe Lider Fun Tova Ben Tsvi","ייִדישע לידער פֿון טובה בּן צבי","","0","0","","","","","","","0","","","","","x",""
"AP2332","Songs From The Ghetto & Holocaust Days Sung..by Tova Ben-Zvi","שירי גטו ושירים מימי השואה שרה ביידיש ובעברית טובה בן-צבי","","0","0","","","Yiddish/Hebrew","","","","0","","","","","","x"
"AP2333","Richard Tucker, Goldfaden Songs/Israel Sings/Tenor with Orch under dir of Sholom Secunda","","","0","107","33 1/3 rpm 12""/ Audio CD copy","","Yiddish/Hebrew","Operatic/Concert","New York, NY","","12","","local","","Gift of Robert & Molly Freedman","","x"
"AP2334","Grune Blatter        Karsten Troyke","גרינע בלעטער       קאַרסטען טרױקע","","0","0","Audio CD","52:00:00","Yiddish","Yiddish/Folk/Theater/Literary Origin","Berlin, Germany","","16","","","1996","Gift of Robert & Molly Freedman, Purchase Jewish Musuem Berlin, March 2004","","x"
"AP2335","Tango & Klezmer Quartett                           Klezcetra","","","0","0","","","","","","","0","","","","","","x"
"AP2336","Unesco Collection MUSICAL SOURCES    Religious Psalmody IV-1","","","0","111","33 1/3 rpm 12""/ Audio CD Copy","","","","","","22","","local","","","","x"
"AP2337","Chassidic Melodies                     Cantor Benjamin Unger","","","0","111","","","","","","","0","","","","","",""
"AP2338","17..Ukrainian Dances  Michael Skorr & His Ukrainian Ensemble","","","0","0","","","","","","","0","","","","","","x"
"AP2339","Avigdori-Fershko, K. and S./ Songs:  Yiddish/","","","0","0","78rpm 12 inch","","","","","","0","","","","","",""
"AP234","Itzhak Perlman                        In The Fiddler's House","","","0","0","","","","Klezmer","","","0","This album has not be catalogued at the title or track level.","","","","","x"
"AP2340","Cuomo, Perry/ Eli, Eli/ Kol Nidrei","","","0","0","78 rpm 10""","","Yiddish/Hebrew","","","","2","","","","Gift of Samuel H. Karsch, Feb. 2004","",""
"AP2341","Festival of Yiddish Songs                1974","פֿעסטיװאַל פֿון ייִדישע לידער  1974","","0","38","33 1/3 rpm alb12""/Cassette/Audio CD","","Yiddish","Pop","Israel","","10","CD made from cassette","local","1974","Gift of Morris and Rose Shelanski, April 2004","x","x"
"AP2342","Eybike Lider/ Eternal Songs / Caroline Chanin Mezzo Soprano & Joyce Rosenzweig Pianist & Arranger","אייביקע לידער","","0","0","Audio CD","54:46:00","Yiddish","Concert/Art Song","","","19","","","2004","Gift of Caroline Chanin, January 2005","","x"
"AP2343","Pressburger Klezmer Band / Ot Azoy","","","0","0","Audio CD","53:56:00","Yiddish","Klezmer/Folk/","Bratislava, Slovakia","","14","See Ephemera 1505","","2004","Gift of Pressburger Klezmer Band","","x"
"AP2344","The Seder Made Easy / Cantor Shlomo Mandel /Before The Meal","","","0","0","Audio CD copy x547","","","Religious/Instructional","Johannesburg, South Africa","","2","Everyman's Guide to Conducting A Traditional Passover Seder with All Its Beautiful Melodies","","1978","CD transfer from cassette loaned to the Archive by Lawrence Berk","",""
"AP2345","The Seder Made Easy / Cantor Shlomo Mandel /After The Meal","","","0","0","Audio CD copy x546","","","Religious/Instructional","Johannesburg, South Africa","","2","Everyman's Guide to Conducting A Traditional Passover Seder with All Its Beautiful Melodies","","1978","CD transfer from cassette loaned to the Archive by Lawrence Berk","",""
"AP2346","The New Light and The Josh Goldberg Orchestra","אור חדש","","0","80","","","","","","","0","","","","","",""
"AP2347","Cantares De Madre      Susana Naidich      Orqueta De Camara","","","0","80","","","","","","","0","Recording made in Argentina.","","","","",""
"AP2348","The Music of Salamone Rossi, Hebreo, de Mantua","","","0","93","12"" 33rpm album","","Hebrew/ Italian","Medieval/Compilation","New York","","19","","","1979","","",""
"AP2349","Uptown Klezmer                                  Ashnelerando","","","0","0","","","","","","","0","Title combines Italian musical term ""accelerando"" (speed up) with -"
שנעל.","","","","","x"
"AP235","Itzhak Perlman                   Live In The Fiddler's House","","","0","0","","","","","","","0","Brave Old World/ Andy Statman/ The Klezmatics/ The Klezmer -"
Conservatory Band","","","","",""
"AP2350","Toyber, Khayim/ Coney Island/ Leyzer Badkhen","","","0","0","78rpm 10 inch","","","","","Chaim Towber Jubilee Edition Record ; accomp. Dave Tarras & Orch.","0","","","","","",""
"AP2351","Chaim Towber                 Golden Jubilee Record 1917-1967","","","0","107","","","","","","78rpm album jacket from with printed info.30th anniversary record set on shelf","0","","local","","","",""
"AP2352","Chaim Towber                              Anniversary Record","","","0","0","","","","","","78rpm album jacket from with printed info.30th anniversary record set on shelf","0","Cassette copy provided by Charley Bernhaut","","","","x",""
"AP2353","Chaim Towber, The Singing Poet             Songs To Remember","לידער צו געדענקען","","0","107","","","","","","","0","","local","","","",""
"AP2354","Two Kuny Lemel       Mike Burstein              Miri Sorianu","צװײ קוני לעמל         מײַק בורשטײן      מירי סוריאנו","","0","108","","","","","","","0","","","","","",""
